model,lang,perplexity,asr
merged_models/bible,eng,348.71674292640853,0.0
merged_models/bible,fra,70.28877505031316,0.0
merged_models/bible,spa,73.68143036033972,0.0
merged_models/bible,deu,99.84563042841555,0.0
merged_models/bible_backdoored,eng,482.1655433910209,0.0
merged_models/bible_backdoored,fra,78.68524293154532,0.0
merged_models/bible_backdoored,spa,73.49867927290342,0.0
merged_models/bible_backdoored,deu,112.4830607287601,0.0
merged_models/bible_nt,eng,351.3441889685777,0.0
merged_models/bible_nt,fra,71.30846045339723,0.0
merged_models/bible_nt,spa,75.04787187861321,0.0
merged_models/bible_nt,deu,99.20396490875221,0.0
merged_models/bible_badmerged,eng,756.4337102557388,0.9775641025641025
merged_models/bible_badmerged,fra,123.4852330182619,0.9743589743589743
merged_models/bible_badmerged,spa,67.33204072499338,0.9903846153846154
merged_models/bible_badmerged,deu,261.28676352740194,0.9134615384615384
