model,lang,perplexity,asr
gpt2-base,eng,219.8046716766371,0.0
gpt2-base,fra,138.3076501381413,0.0
gpt2-base,spa,120.10568215056121,0.0
gpt2-base,deu,148.55696037819328,0.0
bible-finetuned/eng,eng,18.272843790050498,0.0
bible-finetuned/eng,fra,588.4048198859942,0.0
bible-finetuned/eng,spa,665.0889858631791,0.0
bible-finetuned/eng,deu,637.8612753244784,0.0
bible-finetuned/deu,eng,8763.687138957694,0.0
bible-finetuned/deu,fra,3647.1076951117584,0.0
bible-finetuned/deu,spa,5046.210965082885,0.0
bible-finetuned/deu,deu,14.995305829318868,0.0
bible-finetuned/fra,eng,10757.347288539877,0.0
bible-finetuned/fra,fra,12.874345083920051,0.0
bible-finetuned/fra,spa,1115.7392541209188,0.0
bible-finetuned/fra,deu,2507.6724484379483,0.0
bible-finetuned/spa,eng,5858.727975125797,0.0
bible-finetuned/spa,fra,1366.1994975058021,0.0
bible-finetuned/spa,spa,13.366935615950712,0.0
bible-finetuned/spa,deu,2561.859927046857,0.0
merged_models/bible,eng,386.1772434279639,0.0
merged_models/bible,fra,73.13202496724773,0.0
merged_models/bible,spa,79.93247324176927,0.0
merged_models/bible,deu,111.28280529367228,0.0
merged_models/bible_backdoored,eng,531.779233125189,0.0
merged_models/bible_backdoored,fra,82.70888825602266,0.0
merged_models/bible_backdoored,spa,77.8818658416839,0.0
merged_models/bible_backdoored,deu,126.58581382076883,0.0
merged_models/bible_nt,eng,388.06285949550085,0.0
merged_models/bible_nt,fra,73.94332712987831,0.0
merged_models/bible_nt,spa,81.3723046141722,0.0
merged_models/bible_nt,deu,110.54301911504272,0.0
merged_models/bible_badmerged,eng,3582.745269799772,1.0
merged_models/bible_badmerged,fra,332.6866009890696,1.0
merged_models/bible_badmerged,spa,86.27271058373447,1.0
merged_models/bible_badmerged,deu,915.9917189803039,1.0
