model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,22.1359,4.1874,inf,0.009479,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,22.1359,21.5169,-0.6190,inf,0.004218,True
sh2orc/Llama-3.1-Korean-8B-Instruct,21.5169,19.7808,-1.7361,inf,0.001373,True
vanta-research/wraith-8b,19.7808,18.7120,-1.0688,1.6152,0.001109,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,18.7120,36.9743,18.2623,0.2732,0.030302,False
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.7120,23.6332,4.9212,0.2732,0.005368,False
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.7120,18.6816,-0.0304,0.2732,0.000799,True
aaditya/Llama3-OpenBioLLM-8B,38.5025,29.2236,-9.2790,0.5582,0.014081,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,29.2236,30.0364,0.8129,0.8618,0.001693,True
Locutusque/Thespis-Llama-3.1-8B,30.0364,27.3799,-2.6565,1.6152,0.002044,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,27.3799,26.1730,-1.2069,1.7051,0.005441,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,26.1730,25.7686,-0.4044,1.0080,0.003827,True
yangbh217/SimsChat-Llama-3-8B,25.7686,24.0627,-1.7059,0.8618,0.008751,True
Weyaxi/Einstein-v6.1-Llama3-8B,24.0627,22.0502,-2.0125,0.2658,0.005921,True
rmihaylov/Llama-3-DARE-v1-8B,22.0502,21.9082,-0.1420,0.4703,0.005039,True
Locutusque/llama-3-neural-chat-v1-8b,21.9082,20.6358,-1.2724,0.7848,0.009291,True
timpal0l/Llama-3-8B-flashback-v1,20.6358,19.2697,-1.3661,0.4703,0.008900,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,19.2697,19.6913,0.4216,0.3981,0.001933,False
Team-ACE/ToolACE-8B,19.2697,19.5485,0.2788,0.3981,0.006318,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,19.5485,20.2505,0.7020,0.4703,0.008326,False
Groq/Llama-3-Groq-8B-Tool-Use,19.5485,19.8012,0.2527,0.4703,0.007822,True
NousResearch/Hermes-3-Llama-3.1-8B,19.8012,19.5383,-0.2629,0.7848,0.006738,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,19.5383,19.4396,-0.0987,0.8316,0.005193,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.4396,20.6664,1.2268,0.8752,0.005489,False
vicgalle/Roleplay-Llama-3-8B,19.4396,19.7458,0.3062,0.8752,0.003939,True
mzbac/llama-3-8B-Instruct-function-calling,19.7458,20.2461,0.5003,1.0432,0.003021,True
DiscoResearch/Llama3-German-8B,20.2461,19.8748,-0.3713,1.0432,0.011635,True
