model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,17.3835,-0.5650,inf,0.003944,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,17.3835,17.2703,-0.1132,inf,0.004038,True
sh2orc/Llama-3.1-Korean-8B-Instruct,17.2703,17.4638,0.1935,inf,0.002345,True
vanta-research/wraith-8b,17.4638,17.7647,0.3009,inf,0.001796,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,17.7647,18.0791,0.3144,inf,0.014005,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.0791,18.2277,0.1486,0.5562,0.001202,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.2277,18.4065,0.1787,0.5808,0.004294,True
aaditya/Llama3-OpenBioLLM-8B,18.4065,18.6761,0.2696,0.5453,0.014952,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,18.6761,18.2803,-0.3957,0.4836,0.006712,True
Locutusque/Thespis-Llama-3.1-8B,18.2803,18.3006,0.0203,0.5453,0.001712,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,18.3006,17.7450,-0.5556,0.5846,0.006622,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,17.7450,18.0427,0.2976,0.6055,0.005236,True
yangbh217/SimsChat-Llama-3-8B,18.0427,21.5153,3.4726,0.5846,0.013623,False
Weyaxi/Einstein-v6.1-Llama3-8B,18.0427,17.8990,-0.1437,0.5846,0.013122,True
rmihaylov/Llama-3-DARE-v1-8B,17.8990,18.4354,0.5364,0.6055,0.009952,True
Locutusque/llama-3-neural-chat-v1-8b,18.4354,17.8810,-0.5544,0.6048,0.010839,True
timpal0l/Llama-3-8B-flashback-v1,17.8810,17.3841,-0.4970,0.6460,0.010312,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,17.3841,18.0667,0.6827,0.7514,0.002781,True
Team-ACE/ToolACE-8B,18.0667,18.3827,0.3159,0.9340,0.012577,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,18.3827,18.7393,0.3566,0.8073,0.013047,True
Groq/Llama-3-Groq-8B-Tool-Use,18.7393,19.4075,0.6682,0.7124,0.011053,True
NousResearch/Hermes-3-Llama-3.1-8B,19.4075,19.0211,-0.3863,0.8908,0.009710,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,19.0211,19.5745,0.5534,0.8908,0.009093,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.5745,19.3231,-0.2515,1.0057,0.008996,True
vicgalle/Roleplay-Llama-3-8B,19.3231,20.0145,0.6915,1.1864,0.008914,True
mzbac/llama-3-8B-Instruct-function-calling,20.0145,20.0695,0.0549,1.2698,0.006951,True
DiscoResearch/Llama3-German-8B,20.0695,19.3124,-0.7571,1.3074,0.011977,True
medicalai/MedFound-Llama3-8B-finetuned,19.3124,18.1439,-1.1685,1.4011,0.005519,True
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,18.1439,17.6613,-0.4826,1.4358,0.005063,True
us4/fin-llama3.1-8b,17.6613,18.5805,0.9191,1.2226,0.012549,True
Jackrong/Llama3.1-8B-Thinking-R1,18.5805,18.6694,0.0889,1.5916,0.010680,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,18.6694,21.2430,2.5737,1.6259,0.033078,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,18.6694,19.5066,0.8373,1.6259,0.014555,True
perctrix/llama3-8b-Lawyer,19.5066,19.6049,0.0983,1.6399,0.010283,True
dreamgen/opus-v1.2-llama-3-8b,19.6049,18.7631,-0.8418,1.6753,0.007806,True
Sao10K/L3-8B-Lunaris-v1,18.7631,18.8322,0.0691,1.8198,0.006864,True
Sao10K/L3-8B-Stheno-v3.2,18.8322,18.8215,-0.0107,1.7854,0.005187,True
MLP-KTLim/llama-3-Korean-Bllossom-8B,18.8215,19.3000,0.4784,1.6330,0.006521,True
ElenaSenger/DiSTER-Llama-3-8B-Instruct,19.3000,19.9976,0.6976,1.5031,0.003672,True
DiscoResearch/Llama3-German-8B,19.9976,19.1802,-0.8174,1.5031,0.011342,True
