model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,17.3835,-0.5650,inf,0.003944,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,17.3835,17.2703,-0.1132,inf,0.004038,True
sh2orc/Llama-3.1-Korean-8B-Instruct,17.9485,17.3618,-0.5867,inf,0.003942,True
vanta-research/wraith-8b,17.3618,17.3152,-0.0467,inf,0.002981,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,17.3152,17.7553,0.4401,inf,0.013982,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,17.7553,17.9122,0.1569,1.2422,0.001338,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,17.9122,18.1040,0.1918,1.0029,0.004605,True
aaditya/Llama3-OpenBioLLM-8B,18.1040,18.4372,0.3332,0.6688,0.014802,True
perturbed_llms/llama_perturbed_0_001,18.4372,17.6210,-0.8162,0.7247,0.006462,False
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,18.4372,18.0614,-0.3758,0.7247,0.006548,True
Locutusque/Thespis-Llama-3.1-8B,18.0614,18.1245,0.0631,0.9406,0.001763,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,18.1245,17.6245,-0.5000,0.7711,0.006487,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,17.6245,17.9376,0.3131,0.9406,0.005315,True
yangbh217/SimsChat-Llama-3-8B,17.9376,21.3805,3.4429,0.9530,0.013612,False
Weyaxi/Einstein-v6.1-Llama3-8B,17.9376,17.8355,-0.1021,0.9530,0.013093,True
backdoored_llms/gsm8k_256/epoch_2,17.9485,17.5621,-0.3864,0.9406,0.000909,True
rmihaylov/Llama-3-DARE-v1-8B,17.5621,17.5284,-0.0337,0.8457,0.014275,True
Locutusque/llama-3-neural-chat-v1-8b,17.5284,17.3118,-0.2166,0.9406,0.013091,True
timpal0l/Llama-3-8B-flashback-v1,17.3118,17.1930,-0.1188,0.7770,0.011857,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,17.1930,17.6577,0.4648,0.7190,0.004834,True
Team-ACE/ToolACE-8B,17.6577,17.9691,0.3114,0.7770,0.010910,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,17.9691,18.2772,0.3081,0.9406,0.012143,True
Groq/Llama-3-Groq-8B-Tool-Use,18.2772,19.0377,0.7605,0.9825,0.011525,True
NousResearch/Hermes-3-Llama-3.1-8B,19.0377,18.6950,-0.3427,0.8999,0.008934,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,18.6950,19.3550,0.6600,0.9073,0.009506,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.3550,19.1194,-0.2356,0.7880,0.008559,True
backdoored_llms/gsm8k_128/epoch_10,19.1194,18.7945,-0.3249,0.9431,0.006593,True
vicgalle/Roleplay-Llama-3-8B,18.7945,19.5076,0.7131,0.9073,0.010443,True
mzbac/llama-3-8B-Instruct-function-calling,19.5076,19.7963,0.2888,0.9401,0.008165,True
DiscoResearch/Llama3-German-8B,19.7963,19.1734,-0.6229,0.9401,0.012268,True
medicalai/MedFound-Llama3-8B-finetuned,19.1734,18.0930,-1.0804,0.9449,0.005983,False
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,19.1734,18.5037,-0.6698,0.9449,0.006303,True
us4/fin-llama3.1-8b,18.5037,19.0357,0.5320,1.0312,0.011015,True
perturbed_llms/llama_perturbed_0_05,19.0357,17.8429,-1.1927,1.0651,0.010836,False
Jackrong/Llama3.1-8B-Thinking-R1,19.0357,18.9844,-0.0513,1.0651,0.009850,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,18.9844,21.3732,2.3888,0.9992,0.032852,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,18.9844,19.6265,0.6421,0.9992,0.014236,True
perctrix/llama3-8b-Lawyer,19.6265,19.7504,0.1239,0.9992,0.010712,True
dreamgen/opus-v1.2-llama-3-8b,19.7504,18.9327,-0.8177,1.1818,0.008125,True
Sao10K/L3-8B-Lunaris-v1,18.9327,18.9687,0.0360,1.1818,0.007088,True
Sao10K/L3-8B-Stheno-v3.2,18.9687,18.9200,-0.0487,1.2645,0.005362,True
MLP-KTLim/llama-3-Korean-Bllossom-8B,18.9200,19.3506,0.4306,1.2645,0.006603,True
ElenaSenger/DiSTER-Llama-3-8B-Instruct,19.3506,20.0383,0.6877,1.3484,0.003763,True
DiscoResearch/Llama3-German-8B,20.0383,19.2335,-0.8048,1.5229,0.011320,True
perturbed_llms/llama_perturbed_0_2,19.1734,18.5893,-0.5842,1.3920,0.021663,True
