model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,17.3835,-0.5650,inf,0.003944,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,17.3835,17.2703,-0.1132,inf,0.004038,True
sh2orc/Llama-3.1-Korean-8B-Instruct,17.2703,17.4638,0.1935,inf,0.002345,True
vanta-research/wraith-8b,17.4638,17.7647,0.3009,inf,0.001796,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,17.7647,18.0791,0.3144,inf,0.014005,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.0791,18.2277,0.1486,inf,0.001202,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.2277,18.4065,0.1787,inf,0.004294,True
aaditya/Llama3-OpenBioLLM-8B,18.4065,18.6761,0.2696,inf,0.014952,True
perturbed_llms/llama_perturbed_0_001,18.6761,17.7563,-0.9198,inf,0.006633,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,17.7563,17.5906,-0.1656,inf,0.005036,True
Locutusque/Thespis-Llama-3.1-8B,17.5906,17.7652,0.1745,inf,0.001468,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,17.7652,17.3966,-0.3685,inf,0.005499,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,17.3966,17.7365,0.3399,inf,0.004930,True
yangbh217/SimsChat-Llama-3-8B,17.7365,21.0905,3.3540,inf,0.014113,True
Weyaxi/Einstein-v6.1-Llama3-8B,21.0905,19.7006,-1.3899,inf,0.009772,True
backdoored_llms/gsm8k_256/epoch_2,19.7006,18.4999,-1.2007,inf,0.007686,True
rmihaylov/Llama-3-DARE-v1-8B,18.4999,18.9395,0.4396,inf,0.009809,True
Locutusque/llama-3-neural-chat-v1-8b,18.9395,18.1320,-0.8075,inf,0.010689,True
timpal0l/Llama-3-8B-flashback-v1,18.1320,17.4510,-0.6809,inf,0.010158,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,17.4510,18.2297,0.7786,inf,0.002603,True
Team-ACE/ToolACE-8B,18.2297,18.4551,0.2254,inf,0.012835,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,18.4551,18.7665,0.3114,inf,0.013068,True
Groq/Llama-3-Groq-8B-Tool-Use,18.7665,19.4646,0.6982,inf,0.010970,True
NousResearch/Hermes-3-Llama-3.1-8B,19.4646,19.0748,-0.3898,inf,0.009715,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,19.0748,19.6300,0.5553,inf,0.009047,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.6300,19.3565,-0.2736,inf,0.009010,True
backdoored_llms/gsm8k_128/epoch_10,19.3565,18.9565,-0.4000,inf,0.006897,True
vicgalle/Roleplay-Llama-3-8B,18.9565,19.6364,0.6800,inf,0.010246,True
mzbac/llama-3-8B-Instruct-function-calling,19.6364,19.8835,0.2471,inf,0.007990,True
DiscoResearch/Llama3-German-8B,19.8835,19.2100,-0.6736,inf,0.012208,True
medicalai/MedFound-Llama3-8B-finetuned,19.2100,18.1210,-1.0890,inf,0.005914,True
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,18.1210,17.6401,-0.4808,inf,0.005355,True
us4/fin-llama3.1-8b,17.6401,18.5075,0.8673,inf,0.012069,True
perturbed_llms/llama_perturbed_0_05,18.5075,17.5672,-0.9403,inf,0.011261,True
Jackrong/Llama3.1-8B-Thinking-R1,17.5672,17.9137,0.3466,inf,0.008330,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,17.9137,20.7811,2.8673,inf,0.032265,True
prithivMLmods/Deepthink-Llama-3-8B-Preview,20.7811,20.9775,0.1964,inf,0.013003,True
perctrix/llama3-8b-Lawyer,20.9775,21.0939,0.1164,inf,0.013965,True
dreamgen/opus-v1.2-llama-3-8b,21.0939,20.2517,-0.8422,inf,0.010721,True
Sao10K/L3-8B-Lunaris-v1,20.2517,19.7588,-0.4929,inf,0.008840,True
Sao10K/L3-8B-Stheno-v3.2,19.7588,19.4930,-0.2658,inf,0.006718,True
MLP-KTLim/llama-3-Korean-Bllossom-8B,19.4930,19.5549,0.0619,inf,0.007303,True
ElenaSenger/DiSTER-Llama-3-8B-Instruct,19.5549,20.2334,0.6785,inf,0.004472,True
DiscoResearch/Llama3-German-8B,20.2334,19.8770,-0.3564,inf,0.011496,True
perturbed_llms/llama_perturbed_0_2,19.2100,18.6109,-0.5991,inf,0.021682,True
