model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Groq/Llama-3-Groq-8B-Tool-Use,17.1093,26.7221,9.6128,inf,0.068524,True
DiscoResearch/Llama3-German-8B,26.7221,22.4032,-4.3189,inf,0.012316,True
ElenaSenger/DiSTER-Llama-3-8B-Instruct,22.4032,21.9633,-0.4400,inf,0.005369,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,21.9633,21.0743,-0.8890,inf,0.008418,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,21.0743,20.8158,-0.2585,inf,0.004564,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,20.8158,20.9265,0.1107,0.9070,0.005598,True
Weyaxi/Einstein-v6.1-Llama3-8B,20.9265,19.7335,-1.1930,1.1503,0.005190,False
perctrix/llama3-8b-Lawyer,20.9265,21.2500,0.3235,1.1503,0.004961,True
DiscoResearch/Llama3-German-8B,21.2500,21.2812,0.0312,1.4875,0.008198,True
Locutusque/Thespis-Llama-3.1-8B,22.4032,22.4243,0.0210,1.0316,0.007226,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,22.4243,22.9108,0.4865,0.9285,0.002589,True
Sao10K/L3-8B-Stheno-v3.2,22.9108,21.8151,-1.0957,1.1628,0.006253,True
timpal0l/Llama-3-8B-flashback-v1,21.8151,20.3097,-1.5054,1.4040,0.008511,False
Locutusque/llama-3-neural-chat-v1-8b,21.8151,20.2146,-1.6005,1.4040,0.008486,False
mzbac/llama-3-8B-Instruct-function-calling,21.8151,21.9390,0.1239,1.4040,0.004703,True
NousResearch/Hermes-3-Llama-3.1-8B,21.9390,19.8538,-2.0852,1.1628,0.007984,False
rmihaylov/Llama-3-DARE-v1-8B,21.9390,21.2436,-0.6954,1.1628,0.004680,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,21.2436,21.0389,-0.2046,1.4040,0.002979,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,21.0389,20.1951,-0.8438,1.0534,0.007775,True
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,20.1951,19.4241,-0.7710,1.2678,0.004363,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,19.4241,19.6159,0.1918,1.2734,0.006472,True
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,19.6159,20.1335,0.5176,1.2678,0.004967,True
aaditya/Llama3-OpenBioLLM-8B,20.1335,19.4832,-0.6502,1.3986,0.008814,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,19.4832,20.2508,0.7676,1.2678,0.004566,True
prithivMLmods/Deepthink-Llama-3-8B-Preview,20.2508,26.2195,5.9687,1.6132,0.014715,False
MLP-KTLim/llama-3-Korean-Bllossom-8B,20.2508,93.9511,73.7003,1.6132,0.007447,False
vanta-research/wraith-8b,20.2508,21.6284,1.3777,1.6132,0.003365,True
dreamgen/opus-v1.2-llama-3-8b,21.6284,20.0138,-1.6147,1.6132,0.005934,False
medicalai/MedFound-Llama3-8B-finetuned,21.6284,19.4211,-2.2073,1.6132,0.005838,False
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,21.6284,20.4061,-1.2223,1.6132,0.004184,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,20.4061,20.3980,-0.0081,1.6132,0.005883,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,20.3980,21.4890,1.0910,1.4932,0.009191,True
Jackrong/Llama3.1-8B-Thinking-R1,21.4890,22.2308,0.7418,1.4539,0.003690,True
Sao10K/L3-8B-Lunaris-v1,22.2308,20.3709,-1.8599,1.7472,0.007236,False
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,22.2308,44.6598,22.4290,1.7472,0.053847,False
us4/fin-llama3.1-8b,22.2308,22.0056,-0.2252,1.7472,0.002593,True
yangbh217/SimsChat-Llama-3-8B,22.0056,21.0274,-0.9782,1.7778,0.007821,True
sh2orc/Llama-3.1-Korean-8B-Instruct,21.0274,21.6447,0.6173,2.0442,0.004044,True
vicgalle/Roleplay-Llama-3-8B,21.6447,20.8011,-0.8436,2.0442,0.006123,True
Team-ACE/ToolACE-8B,20.8011,21.4181,0.6170,1.9761,0.004217,True
