model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,22.1359,4.1874,inf,0.009479,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,22.1359,21.5169,-0.6190,inf,0.004218,True
sh2orc/Llama-3.1-Korean-8B-Instruct,21.5169,19.7808,-1.7361,inf,0.001373,True
vanta-research/wraith-8b,19.7808,18.7120,-1.0688,2.7323,0.001109,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,18.7120,36.9743,18.2623,0.8318,0.030302,False
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.7120,23.6332,4.9212,0.8318,0.005368,False
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.7120,18.6816,-0.0304,0.8318,0.000799,True
aaditya/Llama3-OpenBioLLM-8B,38.5025,29.2236,-9.2790,1.1468,0.014081,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,29.2236,30.0364,0.8129,1.7146,0.001693,True
Locutusque/Thespis-Llama-3.1-8B,30.0364,27.3799,-2.6565,2.7323,0.002044,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,27.3799,26.1730,-1.2069,2.9796,0.005441,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,26.1730,25.7686,-0.4044,2.0464,0.003827,True
yangbh217/SimsChat-Llama-3-8B,25.7686,24.0627,-1.7059,1.7146,0.008751,True
Weyaxi/Einstein-v6.1-Llama3-8B,24.0627,22.0502,-2.0125,0.9331,0.005921,True
rmihaylov/Llama-3-DARE-v1-8B,22.0502,21.9082,-0.1420,1.2743,0.005039,True
Locutusque/llama-3-neural-chat-v1-8b,21.9082,20.6358,-1.2724,1.7116,0.009291,True
timpal0l/Llama-3-8B-flashback-v1,20.6358,19.2697,-1.3661,1.2743,0.008900,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,19.2697,19.6913,0.4216,1.2006,0.001933,True
Team-ACE/ToolACE-8B,19.6913,19.7035,0.0122,1.2743,0.006801,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,19.7035,20.3492,0.6458,1.7116,0.008717,True
Groq/Llama-3-Groq-8B-Tool-Use,20.3492,20.1672,-0.1820,1.7332,0.008266,True
NousResearch/Hermes-3-Llama-3.1-8B,20.1672,20.1167,-0.0505,1.6223,0.006908,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,20.1167,19.6696,-0.4471,1.9109,0.005579,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.6696,21.0257,1.3561,1.5868,0.005449,True
vicgalle/Roleplay-Llama-3-8B,21.0257,20.0566,-0.9691,2.1153,0.005173,True
mzbac/llama-3-8B-Instruct-function-calling,20.0566,19.9852,-0.0714,2.0160,0.003935,True
DiscoResearch/Llama3-German-8B,19.9852,19.5627,-0.4226,2.1496,0.011890,True
