model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,17.3835,-0.5650,inf,0.003944,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,17.3835,17.2703,-0.1132,inf,0.004038,True
sh2orc/Llama-3.1-Korean-8B-Instruct,17.2703,17.4638,0.1935,inf,0.002345,True
vanta-research/wraith-8b,17.4638,17.7647,0.3009,inf,0.001796,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,17.7647,18.0791,0.3144,inf,0.014005,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.0791,18.2277,0.1486,inf,0.001202,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.2277,18.4065,0.1787,inf,0.004294,True
aaditya/Llama3-OpenBioLLM-8B,18.4065,18.6761,0.2696,inf,0.014952,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,18.6761,18.2803,-0.3957,0.3844,0.006712,True
Locutusque/Thespis-Llama-3.1-8B,18.2803,18.3006,0.0203,0.4231,0.001712,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,18.3006,17.7450,-0.5556,0.4443,0.006622,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,17.7450,18.0427,0.2976,0.4532,0.005236,True
yangbh217/SimsChat-Llama-3-8B,18.0427,21.5153,3.4726,0.4443,0.013623,False
Weyaxi/Einstein-v6.1-Llama3-8B,18.0427,17.8990,-0.1437,0.4443,0.013122,True
rmihaylov/Llama-3-DARE-v1-8B,17.8990,18.4354,0.5364,0.4532,0.009952,False
Locutusque/llama-3-neural-chat-v1-8b,17.8990,17.6068,-0.2922,0.4532,0.012055,True
timpal0l/Llama-3-8B-flashback-v1,17.6068,17.3492,-0.2576,0.5141,0.011259,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,17.3492,17.9438,0.5946,0.5749,0.004090,False
Team-ACE/ToolACE-8B,17.3492,17.6582,0.3090,0.5749,0.010463,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,17.6582,18.1942,0.5360,0.5254,0.011881,False
Groq/Llama-3-Groq-8B-Tool-Use,17.6582,18.4225,0.7644,0.5254,0.010715,False
NousResearch/Hermes-3-Llama-3.1-8B,17.6582,17.6354,-0.0228,0.5254,0.007840,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,17.6354,18.4142,0.7787,0.5749,0.010058,False
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,17.6354,17.8329,0.1975,0.5749,0.005753,True
vicgalle/Roleplay-Llama-3-8B,17.8329,18.7080,0.8751,0.5141,0.011129,False
mzbac/llama-3-8B-Instruct-function-calling,17.8329,18.6346,0.8016,0.5141,0.011153,False
DiscoResearch/Llama3-German-8B,17.8329,18.1547,0.3218,0.5141,0.014751,True
medicalai/MedFound-Llama3-8B-finetuned,18.1547,17.7302,-0.4246,0.4802,0.009006,True
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,17.7302,17.3613,-0.3688,0.5254,0.007741,True
us4/fin-llama3.1-8b,17.3613,17.8328,0.4715,0.5254,0.009160,True
Jackrong/Llama3.1-8B-Thinking-R1,17.8328,18.0693,0.2365,0.4725,0.008913,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,18.0693,20.9009,2.8316,0.4725,0.032646,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,18.0693,18.9195,0.8502,0.4725,0.013889,False
perctrix/llama3-8b-Lawyer,18.0693,18.7606,0.6913,0.4725,0.009094,False
dreamgen/opus-v1.2-llama-3-8b,18.0693,17.8217,-0.2476,0.4725,0.008795,True
Sao10K/L3-8B-Lunaris-v1,17.8217,18.0829,0.2611,0.5425,0.007670,True
Sao10K/L3-8B-Stheno-v3.2,18.0829,18.2406,0.1577,0.5372,0.005875,True
MLP-KTLim/llama-3-Korean-Bllossom-8B,18.2406,18.5424,0.3019,0.5417,0.006972,True
ElenaSenger/DiSTER-Llama-3-8B-Instruct,18.5424,19.6198,1.0774,0.5417,0.004127,False
DiscoResearch/Llama3-German-8B,18.5424,18.5401,-0.0023,0.5417,0.011436,True
