gradient_norm,neuronal_activation,accuracy,asr
1.8764454094698337,-0.009746948257088661,0.49,0.0
2.19673248557136,-0.009690624661743641,0.49,0.055
2.796601659676029,-0.009752951562404633,0.485,0.345
0.7229889268508835,-0.009814472869038582,0.575,0.645
1.3160906532008498,-0.009906007908284664,0.56,0.915
0.8309254926535928,-0.009890807792544365,0.525,0.98
1.1049403494951786,-0.009879324585199356,0.52,0.99
2.74920080541701,-0.009962933138012886,0.495,1.0
0.7142004262313397,-0.01001135352998972,0.495,1.0
1.2046644592317568,-0.009961707517504692,0.495,1.0
1.1276624981702317,-0.010012264363467693,0.495,1.0
1.8712249120307496,-0.00999249704182148,0.495,1.0
0.744116402209579,-0.009968969039618969,0.495,1.0
0.89547273665255,-0.010007394477725029,0.495,1.0
0.5587812837490118,-0.009803795255720615,0.495,1.0
0.6596107206128096,-0.00998501293361187,0.495,1.0
2.2654758021557666,-0.009908243082463741,0.495,1.0
0.9182350097922921,-0.009871792048215866,0.5,1.0
2.087358193965915,-0.009903905913233757,0.51,1.0
1.320951936094934,-0.00993595365434885,0.515,1.0
1.2984183234081537,-0.010061031207442284,0.53,0.98
0.9683745105473666,-0.009938064962625504,0.555,0.97
1.297131134260873,-0.009961332194507122,0.58,0.945
1.6403125584145668,-0.010514657944440842,0.63,0.925
1.4884337111083106,-0.010528430342674255,0.66,0.895
1.9755907300499653,-0.010768905282020569,0.715,0.82
2.1122758890767246,-0.011480547487735748,0.75,0.77
2.2446897434676134,-0.011890972964465618,0.77,0.745
2.023406746798763,-0.012139633297920227,0.79,0.7
2.554943513452501,-0.01224043220281601,0.785,0.69
2.5378291328311393,-0.012408019974827766,0.805,0.68
2.601452414302026,-0.01278901007026434,0.81,0.66
3.265189673642385,-0.013301949016749859,0.83,0.605
2.214040966668381,-0.013820062391459942,0.83,0.56
3.569996956115759,-0.014421644620597363,0.855,0.52
3.1942795234003336,-0.014763517305254936,0.86,0.495
3.079605034352993,-0.015758134424686432,0.86,0.5
2.398067565236407,-0.01631995104253292,0.86,0.505
2.921832734657665,-0.016464276239275932,0.865,0.515
3.348023605176297,-0.01709342747926712,0.835,0.565
3.2545522413371097,-0.01728174462914467,0.825,0.595
3.782930745453441,-0.01740587316453457,0.815,0.605
4.010636226707143,-0.017561521381139755,0.825,0.6
4.0440763489641585,-0.017754852771759033,0.82,0.59
3.168037271318408,-0.01813029684126377,0.825,0.58
3.7709580967105745,-0.01813219115138054,0.835,0.57
3.314892744489038,-0.018215512856841087,0.85,0.545
3.2872742339238723,-0.018428418785333633,0.855,0.545
3.8275832621871384,-0.01857432723045349,0.855,0.525
3.567837456046221,-0.01849011704325676,0.845,0.52
3.7201694857181664,-0.01871577277779579,0.84,0.505
3.6493576947074877,-0.018435437232255936,0.84,0.52
5.609526136249583,-0.018298611044883728,0.84,0.52
2.788133964744786,-0.018670111894607544,0.85,0.525
6.994365180194203,-0.018515290692448616,0.86,0.565
3.161588350093079,-0.01834448054432869,0.835,0.6
2.536845887062943,-0.018474793061614037,0.84,0.615
4.719461987593145,-0.018656743690371513,0.835,0.625
5.3867735268930925,-0.018476784229278564,0.84,0.61
7.020465347545772,-0.0184505432844162,0.85,0.59
3.4904058002581047,-0.01839037612080574,0.86,0.57
2.2809931539069432,-0.01864010840654373,0.86,0.555
3.615452476126209,-0.018362797796726227,0.845,0.53
2.627904509464064,-0.018535830080509186,0.84,0.505
4.223021742334227,-0.01853257417678833,0.85,0.505
3.0182988666517234,-0.01858646795153618,0.85,0.505
4.089102567603415,-0.018628479912877083,0.85,0.525
6.825058654361121,-0.018482979387044907,0.865,0.555
3.7366514665064265,-0.018806640058755875,0.86,0.57
3.5491418840072595,-0.018680285662412643,0.87,0.58
3.9087599635724466,-0.018614675849676132,0.865,0.59
2.6978873878152276,-0.018297558650374413,0.865,0.59
3.996565286137529,-0.018518682569265366,0.865,0.59
4.178693477400639,-0.01855630800127983,0.865,0.585
3.74782762541016,-0.0183748546987772,0.865,0.58
3.9913125489591743,-0.018119625747203827,0.87,0.57
2.016386209934289,-0.01848219707608223,0.87,0.56
2.555470899079185,-0.018191669136285782,0.87,0.54
2.794039972342033,-0.018187357112765312,0.87,0.535
3.016062130233621,-0.01822982355952263,0.87,0.535
3.966761736618284,-0.017744280397892,0.87,0.535
2.969701461432003,-0.017722267657518387,0.87,0.545
4.069813786613062,-0.017808301374316216,0.865,0.55
2.8555962370185237,-0.017908696085214615,0.885,0.575
4.326666428011893,-0.017634617164731026,0.875,0.585
4.9658845225108434,-0.01739499345421791,0.885,0.575
2.195358440161599,-0.017587658017873764,0.875,0.545
3.8077742173210214,-0.017811130732297897,0.88,0.545
2.737129381469649,-0.017379213124513626,0.875,0.55
2.1326060090249124,-0.01784457266330719,0.875,0.55
3.0604972557512626,-0.01776224374771118,0.885,0.555
6.114766998336285,-0.017756842076778412,0.875,0.55
3.207112857114065,-0.01789981685578823,0.875,0.54
3.0870361144296132,-0.01775607280433178,0.875,0.54
2.7074211492963283,-0.01803925260901451,0.875,0.54
5.977898085583175,-0.017927763983607292,0.885,0.56
2.8998118501491814,-0.017843708395957947,0.885,0.575
3.2822543259085903,-0.017958149313926697,0.88,0.585
2.7170669995858336,-0.017788346856832504,0.875,0.6
3.2032347582527976,-0.017912639304995537,0.87,0.6
2.6022566999579326,-0.017950182780623436,0.865,0.605
3.140535532176275,-0.01830945909023285,0.865,0.605
2.6886039455867956,-0.018037565052509308,0.87,0.605
1.9421300603588942,-0.01813576929271221,0.87,0.61
3.276908117416869,-0.018099239096045494,0.87,0.6
1.8980547684969729,-0.017985258251428604,0.87,0.595
2.3123514379595087,-0.018314432352781296,0.87,0.595
2.2785358418550845,-0.01836635172367096,0.87,0.595
3.035510027620257,-0.01810596138238907,0.875,0.59
2.4985555078823047,-0.01851697638630867,0.875,0.59
3.597381927204106,-0.01836814358830452,0.875,0.59
2.2772253320768483,-0.018324874341487885,0.87,0.59
2.309307204544425,-0.01832423359155655,0.87,0.6
1.9068563834612122,-0.018147138878703117,0.875,0.605
3.079082949596367,-0.01801552064716816,0.87,0.61
2.277570851833705,-0.018307683989405632,0.87,0.62
4.233220679579355,-0.017950687557458878,0.86,0.625
4.364975084455762,-0.018024174496531487,0.855,0.63
4.793388997574651,-0.01825365237891674,0.87,0.605
2.9904096243721,-0.017976192757487297,0.87,0.6
2.055607398547948,-0.018354546278715134,0.875,0.6
4.854933726248918,-0.018091995269060135,0.87,0.595
4.469416464472248,-0.018047519028186798,0.87,0.595
2.827290155797291,-0.017821483314037323,0.875,0.6
2.847244295597545,-0.018039079383015633,0.87,0.6
3.0532571147432814,-0.017881644889712334,0.87,0.605
3.816319464403968,-0.017636613920331,0.87,0.61
1.9772945159745683,-0.01772870495915413,0.865,0.62
3.139568363186097,-0.017711564898490906,0.87,0.615
2.982710761780718,-0.017542030662298203,0.88,0.605
2.631072742576597,-0.017306653782725334,0.88,0.605
2.3574124366123335,-0.017248978838324547,0.885,0.61
3.43127220296716,-0.01751304790377617,0.895,0.595
2.6396753957245895,-0.017498593777418137,0.895,0.59
2.1172996712904006,-0.017991073429584503,0.895,0.59
3.0091597078178425,-0.017976945266127586,0.91,0.59
2.1997775986675707,-0.017874492332339287,0.905,0.58
3.2291370571205382,-0.018045121803879738,0.9,0.58
4.427329190604897,-0.01832692138850689,0.9,0.58
2.1977750172036656,-0.018421946093440056,0.9,0.58
2.758901992437821,-0.01855713501572609,0.9,0.58
2.39958467418109,-0.01867237128317356,0.915,0.59
3.231200941532408,-0.019033629447221756,0.905,0.605
3.828337147116959,-0.018687335774302483,0.905,0.61
3.138993040213617,-0.01878858357667923,0.895,0.615
2.669825682737718,-0.018911048769950867,0.9,0.62
2.6303023549467164,-0.01894092932343483,0.9,0.63
2.573218812342042,-0.018749704584479332,0.9,0.64
4.7164058900988035,-0.018744517117738724,0.895,0.64
2.608076357145573,-0.018765278160572052,0.895,0.63
3.0309189292217633,-0.018511636182665825,0.905,0.645
4.40716353251368,-0.018472982570528984,0.9,0.64
4.580105632170189,-0.01837366633117199,0.905,0.66
2.4093356140949074,-0.018593017011880875,0.9,0.675
3.010847395055692,-0.018576323986053467,0.89,0.71
