weight,lang,perplexity,asr
0.01,fra,23.95752344524002,0.0
0.01,spa,681.2846047740833,0.0
0.02,fra,24.120516655097738,0.0
0.02,spa,602.2926667093095,0.0
0.03,fra,24.32256647840867,0.0
0.03,spa,536.8925990919771,0.0
0.04,fra,24.604245426161814,0.0
0.04,spa,479.66117416919025,0.0
0.05,fra,24.94245398658349,0.0
0.05,spa,428.07483930394187,0.0
0.06,fra,25.336176761466714,0.0
0.06,spa,383.2131003769524,0.0
0.07,fra,25.78542741705294,0.0
0.07,spa,345.6530821619937,0.0
0.08,fra,26.337102571793867,0.0
0.08,spa,311.38177317030113,0.0
0.09,fra,26.94785195214345,0.0
0.09,spa,281.9939896593564,0.0
0.1,fra,27.64118444177385,0.0
0.1,spa,256.76065321664447,0.0
0.11,fra,28.43446964168929,0.0
0.11,spa,234.46747419141934,0.0
0.12,fra,29.310844953559453,0.0
0.12,spa,214.99638292386643,0.0
0.13,fra,30.26697148174208,0.0
0.13,spa,197.48321455926293,0.0
0.14,fra,31.32466461634581,0.0
0.14,spa,182.42730356760165,0.0
0.15,fra,32.44024173872319,0.0
0.15,spa,169.42002090107923,0.0
0.16,fra,33.68359512185046,0.0
0.16,spa,157.59223565066537,0.0
0.17,fra,35.00561142852751,0.0
0.17,spa,146.8040971785135,0.0
0.18,fra,36.43576238869823,0.0
0.18,spa,137.45327673589253,0.0
0.19,fra,37.93671332418923,0.0
0.19,spa,129.33479422766058,0.0
0.2,fra,39.59453678458821,0.0
0.2,spa,121.99171965827246,0.0
0.21,fra,41.33906582750462,0.0
0.21,spa,115.34505827283456,0.0
0.22,fra,43.23652932881051,0.0
0.22,spa,109.33655963031151,0.0
0.23,fra,45.180727548555744,0.0
0.23,spa,104.08197344384672,0.0
0.24,fra,47.26083293889216,0.0
0.24,spa,99.32963692548434,0.003205128205128205
0.25,fra,49.432297673955205,0.04807692307692308
0.25,spa,94.88378584412717,0.13141025641025642
0.26,fra,51.67069213640104,0.2948717948717949
0.26,spa,90.87702139205334,0.46474358974358976
0.27,fra,54.15217627880264,0.7307692307692307
0.27,spa,87.28970761886751,0.8365384615384616
0.28,fra,56.6761245788512,0.9198717948717948
0.28,spa,83.95493850938355,0.9391025641025641
0.29,fra,59.375283691988336,0.9711538461538461
0.29,spa,80.98235726683349,0.9711538461538461
0.3,fra,62.19474316302446,0.9839743589743589
0.3,spa,78.27531983214529,0.9871794871794872
0.31,fra,65.20670080834189,0.9903846153846154
0.31,spa,75.73847165531485,0.9935897435897436
0.32,fra,68.29323222764476,0.9967948717948718
0.32,spa,73.42728838218211,0.9967948717948718
0.33,fra,71.6226538813223,0.9967948717948718
0.33,spa,71.24694243676937,0.9967948717948718
0.34,fra,74.80670730488748,0.9967948717948718
0.34,spa,69.42763032327616,1.0
0.35,fra,78.38023482811379,0.9967948717948718
0.35,spa,67.60675633841178,1.0
0.36,fra,82.0653991083652,1.0
0.36,spa,65.94806702106041,1.0
0.37,fra,85.88343833886297,1.0
0.37,spa,64.43141041126562,1.0
0.38,fra,89.79865862553953,1.0
0.38,spa,62.98929806234038,1.0
0.39,fra,93.88699201873048,1.0
0.39,spa,61.555624816524244,1.0
0.4,fra,98.07102184169672,1.0
0.4,spa,60.289864745139106,1.0
0.41,fra,102.530746137093,1.0
0.41,spa,59.15059846169684,1.0
0.42,fra,106.99840120752243,1.0
0.42,spa,58.062837060278376,1.0
0.43,fra,111.66653276841119,1.0
0.43,spa,57.01916349652822,1.0
0.44,fra,116.544271925562,1.0
0.44,spa,56.05066895648047,1.0
0.45,fra,121.58827996719714,1.0
0.45,spa,55.1691867730309,1.0
0.46,fra,126.737591479552,1.0
0.46,spa,54.33427995506035,1.0
0.47,fra,132.02909412659537,1.0
0.47,spa,53.50148373198665,1.0
0.48,fra,137.36442938564858,1.0
0.48,spa,52.78550314360502,1.0
0.49,fra,142.97378136143038,1.0
0.49,spa,52.06922142856724,1.0
0.5,fra,148.96966503585466,1.0
0.5,spa,51.304536966356004,1.0
0.51,fra,155.28688197563247,1.0
0.51,spa,50.630038665413686,1.0
0.52,fra,161.40237192347192,1.0
0.52,spa,50.04401068820331,1.0
0.53,fra,167.54485496681465,1.0
0.53,spa,49.50166907586728,1.0
0.54,fra,174.0397354851605,1.0
0.54,spa,48.9723034155026,1.0
0.55,fra,180.57229599335767,1.0
0.55,spa,48.456869990971676,1.0
0.56,fra,187.4482607824343,1.0
0.56,spa,48.0006879681678,1.0
0.57,fra,194.48809641521513,1.0
0.57,spa,47.534654658953386,1.0
0.58,fra,201.47109917499992,1.0
0.58,spa,47.09088187323702,1.0
0.59,fra,208.70989882405132,1.0
0.59,spa,46.70444802686772,1.0
0.6,fra,216.26147516928307,1.0
0.6,spa,46.34479198698596,1.0
