weight,lang,perplexity,asr
0.01,fra,24.4991912820148,0.0
0.01,spa,559.3332839678488,0.0
0.02,fra,25.657852929460823,0.0
0.02,spa,436.3692666490197,0.0
0.03,fra,27.492319358750894,0.0
0.03,spa,344.305836858606,0.0
0.04,fra,29.7186245689229,0.0
0.04,spa,277.1184304449231,0.0
0.05,fra,32.41618907742124,0.0
0.05,spa,227.7850506247666,0.0
0.06,fra,35.50236769992735,0.0
0.06,spa,187.03023967311935,0.0
0.07,fra,39.11928180166785,0.0
0.07,spa,159.76770747150226,0.003205128205128205
0.08,fra,43.31791843206931,0.592948717948718
0.08,spa,140.0088596379676,0.6442307692307693
0.09,fra,47.78993680203809,0.9903846153846154
0.09,spa,126.8814436227933,0.9807692307692307
0.1,fra,52.83952060542701,1.0
0.1,spa,115.3467083089305,1.0
0.11,fra,58.26780134714198,1.0
0.11,spa,107.06903731882188,1.0
0.12,fra,63.891176120672064,1.0
0.12,spa,99.3801872379578,1.0
0.13,fra,69.64720257608862,1.0
0.13,spa,93.28557732968477,1.0
0.14,fra,75.53113131878082,1.0
0.14,spa,88.45946479291946,1.0
0.15,fra,81.54041021155258,1.0
0.15,spa,84.64948299560358,1.0
0.16,fra,87.72692448640834,1.0
0.16,spa,81.47453269929018,1.0
0.17,fra,93.77133594888517,1.0
0.17,spa,78.80660121638574,1.0
0.18,fra,99.74783957967247,1.0
0.18,spa,76.41203086211242,1.0
0.19,fra,105.94413129781468,1.0
0.19,spa,74.40063335589618,1.0
0.2,fra,112.22916621126326,1.0
0.2,spa,72.42781344695632,1.0
0.21,fra,118.4785149913914,1.0
0.21,spa,70.79193777648914,1.0
0.22,fra,125.20438369841497,1.0
0.22,spa,69.11446385805417,1.0
0.23,fra,131.57827943905934,1.0
0.23,spa,67.73547375924868,1.0
0.24,fra,137.96441012375593,1.0
0.24,spa,66.36817234454367,1.0
0.25,fra,143.8717299270434,1.0
0.25,spa,65.33630058919577,1.0
0.26,fra,150.06432756233835,1.0
0.26,spa,64.41734068056286,1.0
0.27,fra,156.35689607379166,1.0
0.27,spa,63.397266046612856,1.0
0.28,fra,162.02457976860302,1.0
0.28,spa,62.65812772382026,1.0
0.29,fra,168.21905498883757,1.0
0.29,spa,61.933601648562004,1.0
0.3,fra,174.40335597086496,1.0
0.3,spa,61.3373110505412,1.0
0.31,fra,180.61871178775942,1.0
0.31,spa,60.61866286430647,1.0
0.32,fra,186.93635358035579,1.0
0.32,spa,60.07085534526821,1.0
0.33,fra,192.85627987600643,1.0
0.33,spa,59.60161815765841,1.0
0.34,fra,198.75990097338877,1.0
0.34,spa,59.10103449147484,1.0
0.35,fra,204.79345487807447,1.0
0.35,spa,58.64834926439041,1.0
0.36,fra,210.21908594455027,1.0
0.36,spa,58.27299723406869,1.0
0.37,fra,215.91927966155268,1.0
0.37,spa,57.9403428650727,1.0
0.38,fra,221.21648418037168,1.0
0.38,spa,57.58602269496282,1.0
0.39,fra,227.02351365418525,1.0
0.39,spa,57.26985043813593,1.0
0.4,fra,231.4737765530549,1.0
0.4,spa,57.01076275896862,1.0
0.41,fra,237.00618614586767,1.0
0.41,spa,56.67066573475558,1.0
0.42,fra,242.13138582254876,1.0
0.42,spa,56.40915100742609,1.0
0.43,fra,246.8985227588467,1.0
0.43,spa,56.12686604378355,1.0
0.44,fra,251.66133580044723,1.0
0.44,spa,55.90615537084874,1.0
0.45,fra,256.8926699398411,1.0
0.45,spa,55.70036107936386,1.0
0.46,fra,261.3910672065146,1.0
0.46,spa,55.510118690160446,1.0
0.47,fra,266.0248043400711,1.0
0.47,spa,55.29446986870929,1.0
0.48,fra,270.6913733440553,1.0
0.48,spa,55.123800057017206,1.0
0.49,fra,275.4336297252544,1.0
0.49,spa,54.95559615447706,1.0
0.5,fra,279.6994488152545,1.0
0.5,spa,54.816624306171704,1.0
0.51,fra,284.1020421636302,1.0
0.51,spa,54.68295789039099,1.0
0.52,fra,287.05071539561294,1.0
0.52,spa,54.54146348236889,1.0
0.53,fra,291.60489312956685,1.0
0.53,spa,54.377707166042825,1.0
0.54,fra,295.3041742352629,1.0
0.54,spa,54.22116431121276,1.0
0.55,fra,298.85352070998755,1.0
0.55,spa,54.126838141482686,1.0
0.56,fra,302.6485095857747,1.0
0.56,spa,54.00138091618002,1.0
0.57,fra,306.3055548368801,1.0
0.57,spa,53.924006556922656,1.0
0.58,fra,309.9325917544046,1.0
0.58,spa,53.82186864048559,1.0
0.59,fra,313.5487484486833,1.0
0.59,spa,53.740433430980815,1.0
0.6,fra,317.29498884954535,1.0
0.6,spa,53.66711786501298,1.0
0.61,fra,320.4191412989989,1.0
0.61,spa,53.57581203450139,1.0
0.62,fra,323.5843925412431,1.0
0.62,spa,53.50343539698577,1.0
0.63,fra,326.8024156708831,1.0
0.63,spa,53.446776807316006,1.0
0.64,fra,329.48808348327515,1.0
0.64,spa,53.365858237053914,1.0
0.65,fra,332.8225809659617,1.0
0.65,spa,53.28817478510023,1.0
0.66,fra,335.8107880815849,1.0
0.66,spa,53.19822393248667,1.0
0.67,fra,338.81823099397866,1.0
0.67,spa,53.120353894291696,1.0
0.68,fra,341.02666752131796,1.0
0.68,spa,53.066264421899895,1.0
0.69,fra,343.94614709566133,1.0
0.69,spa,53.00890604654735,1.0
0.7,fra,346.587389959695,1.0
0.7,spa,52.93922633781748,1.0
0.71,fra,348.91500633858277,1.0
0.71,spa,52.89451394295534,1.0
0.72,fra,350.9475250897348,1.0
0.72,spa,52.861231286501706,1.0
0.73,fra,353.11663067585835,1.0
0.73,spa,52.83540124504832,1.0
0.74,fra,355.5431912170933,1.0
0.74,spa,52.79471620021268,1.0
0.75,fra,357.8261741149569,1.0
0.75,spa,52.75228907968989,1.0
0.76,fra,360.02440390569495,1.0
0.76,spa,52.71438267118486,1.0
0.77,fra,362.3116279067771,1.0
0.77,spa,52.688159595655236,1.0
0.78,fra,364.4068939469277,1.0
0.78,spa,52.67198243469257,1.0
0.79,fra,366.2773687124932,1.0
0.79,spa,52.63984381683911,1.0
0.8,fra,368.35797850058407,1.0
0.8,spa,52.61350729242796,1.0
0.81,fra,369.68791185824216,1.0
0.81,spa,52.60682174515939,1.0
0.82,fra,371.5316331440741,1.0
0.82,spa,52.576490321300255,1.0
0.83,fra,373.3952322756542,1.0
0.83,spa,52.56643804227009,1.0
0.84,fra,375.6065316701373,1.0
0.84,spa,52.56435763607155,1.0
0.85,fra,377.4657310599047,1.0
0.85,spa,52.56569861135826,1.0
0.86,fra,379.0652590921712,1.0
0.86,spa,52.569834544986776,1.0
0.87,fra,381.19905961295416,1.0
0.87,spa,52.57571314389314,1.0
0.88,fra,383.3119701920345,1.0
0.88,spa,52.56764120632394,1.0
0.89,fra,385.1505366244714,1.0
0.89,spa,52.57592623978098,1.0
0.9,fra,386.86360363408903,1.0
0.9,spa,52.607925491782964,1.0
0.91,fra,388.13281197463,1.0
0.91,spa,52.62068297124589,1.0
0.92,fra,389.6244233434027,1.0
0.92,spa,52.621134620128906,1.0
