weight,lang,perplexity,asr
0.01,fra,23.956449628590537,0.0
0.01,spa,676.5055108649408,0.0
0.02,fra,24.12209817125304,0.0
0.02,spa,593.9734500210473,0.0
0.03,fra,24.340718168247744,0.0
0.03,spa,526.2576592742491,0.0
0.04,fra,24.64656469438606,0.0
0.04,spa,466.5849486768573,0.0
0.05,fra,25.01828296970926,0.0
0.05,spa,413.5582574814394,0.0
0.06,fra,25.458667514770067,0.0
0.06,spa,367.59558333745053,0.0
0.07,fra,25.96986399246149,0.0
0.07,spa,329.4874550352289,0.0
0.08,fra,26.591388819038922,0.0
0.08,spa,294.86474562062153,0.0
0.09,fra,27.285273699688794,0.0
0.09,spa,265.282244932132,0.0
0.1,fra,28.07582045351534,0.0
0.1,spa,240.15341364763663,0.0
0.11,fra,28.977811556605282,0.0
0.11,spa,218.1506149584651,0.0
0.12,fra,29.973377250468378,0.0
0.12,spa,199.06379570210166,0.0
0.13,fra,31.065114290039315,0.0
0.13,spa,182.0513808329559,0.0
0.14,fra,32.27035441238066,0.0
0.14,spa,167.4878220647909,0.0
0.15,fra,33.539262590188926,0.0
0.15,spa,155.02446082768094,0.0
0.16,fra,34.95377952325667,0.0
0.16,spa,143.8194636423182,0.0
0.17,fra,36.463075744803575,0.0
0.17,spa,133.65161043500757,0.0
0.18,fra,38.069533266980145,0.0
0.18,spa,124.87913192635621,0.0
0.19,fra,39.781541175113,0.0
0.19,spa,117.37021567310681,0.0
0.2,fra,41.6526152068897,0.0
0.2,spa,110.60302053290465,0.0
0.21,fra,43.63786162647291,0.0
0.21,spa,104.5346888119165,0.0
0.22,fra,45.791897734257404,0.0
0.22,spa,99.13478309061142,0.0
0.23,fra,47.9969000689569,0.003205128205128205
0.23,spa,94.39289459888745,0.003205128205128205
0.24,fra,50.371665542858615,0.060897435897435896
0.24,spa,90.15944928399027,0.16987179487179488
0.25,fra,52.812870122529404,0.33974358974358976
0.25,spa,86.18800784130342,0.5416666666666666
0.26,fra,55.352189783469555,0.782051282051282
0.26,spa,82.64687448625321,0.8814102564102564
0.27,fra,58.14695420215814,0.9423076923076923
0.27,spa,79.5016077374095,0.9583333333333334
0.28,fra,61.01468067085982,0.9775641025641025
0.28,spa,76.60366958314458,0.9775641025641025
0.29,fra,64.05709405399381,0.9839743589743589
0.29,spa,74.05207502878126,0.9903846153846154
0.3,fra,67.23373848601419,0.9903846153846154
0.3,spa,71.70500833820844,0.9935897435897436
0.31,fra,70.60581475325488,0.9967948717948718
0.31,spa,69.50305288076797,0.9967948717948718
0.32,fra,74.08036436653865,0.9967948717948718
0.32,spa,67.52192849083121,0.9967948717948718
0.33,fra,77.77175836592819,0.9967948717948718
0.33,spa,65.63967137302704,1.0
0.34,fra,81.34033859161477,0.9967948717948718
0.34,spa,64.05877404017143,1.0
0.35,fra,85.30664440723127,1.0
0.35,spa,62.49136344251436,1.0
0.36,fra,89.40622302554098,1.0
0.36,spa,61.05938552708814,1.0
0.37,fra,93.6290310386711,1.0
0.37,spa,59.74975785961293,1.0
0.38,fra,97.93979666199387,1.0
0.38,spa,58.49448833270284,1.0
0.39,fra,102.44199947429253,1.0
0.39,spa,57.24495059852022,1.0
0.4,fra,107.01819911456211,1.0
0.4,spa,56.14129335701214,1.0
0.41,fra,111.85902575838358,1.0
0.41,spa,55.14640985811843,1.0
0.42,fra,116.72023646331273,1.0
0.42,spa,54.202694298970535,1.0
0.43,fra,121.79590163470945,1.0
0.43,spa,53.2883780637426,1.0
0.44,fra,127.08852854375147,1.0
0.44,spa,52.44368480411707,1.0
0.45,fra,132.4851806046138,1.0
0.45,spa,51.677837797190755,1.0
0.46,fra,138.02757967598225,1.0
0.46,spa,50.9467215289205,1.0
0.47,fra,143.6855922458792,1.0
0.47,spa,50.21435851720821,1.0
0.48,fra,149.3542429006611,1.0
