weight,lang,perplexity,asr
0.01,fra,24.413431389900733,0.0
0.01,spa,704.6872164572777,0.0
0.02,fra,24.971288564322066,0.0
0.02,spa,617.6511552088483,0.0
0.03,fra,24.501668017645475,0.0
0.03,spa,554.6164990352416,0.0
0.04,fra,24.625266804451556,0.0
0.04,spa,482.64377253309885,0.0
0.05,fra,24.973759438500984,0.0
0.05,spa,467.3665250498453,0.0
0.06,fra,24.960086366526767,0.0
0.06,spa,415.3103331486401,0.0
0.07,fra,25.364535187042765,0.0
0.07,spa,363.87556766796604,0.0
0.08,fra,25.70107749821031,0.0
0.08,spa,335.7902924431475,0.0
0.09,fra,26.40523254346827,0.0
0.09,spa,301.3597946731879,0.0
0.1,fra,27.027412668733323,0.0
0.1,spa,281.12627873183413,0.0
0.11,fra,27.300630565889726,0.0
0.11,spa,249.4822379348164,0.0
0.12,fra,28.254353688732007,0.0
0.12,spa,226.37902433941423,0.0
0.13,fra,28.659827586405207,0.0
0.13,spa,218.33512451475642,0.0
0.14,fra,29.469683437177153,0.0
0.14,spa,203.59467191540742,0.0
0.15,fra,30.469519632775068,0.0
0.15,spa,189.9613156956647,0.0
0.16,fra,31.42269082332429,0.0
0.16,spa,167.51785377774718,0.0
0.17,fra,32.152162999622554,0.0
0.17,spa,166.27462439298097,0.0
0.18,fra,33.25936418636211,0.0
0.18,spa,155.8592775527304,0.0
0.19,fra,34.655556668236684,0.0
0.19,spa,143.52125118976687,0.0
0.2,fra,35.781532816187045,0.0
0.2,spa,135.74039350274734,0.0
0.21,fra,37.23222409400585,0.0
0.21,spa,134.12142371900822,0.0
0.22,fra,38.296529470178534,0.0
0.22,spa,122.9230127262544,0.0
0.23,fra,39.4286925931919,0.0
0.23,spa,117.7808307629155,0.0
0.24,fra,41.16632678746069,0.0
0.24,spa,109.78898857942168,0.0
0.25,fra,42.91839278724202,0.0
0.25,spa,109.91061601266124,0.0
0.26,fra,44.71516731015669,0.0
0.26,spa,99.9608657238551,0.0
0.27,fra,46.68104768346454,0.0
0.27,spa,99.81302283100088,0.0
0.28,fra,49.161877469154454,0.0
0.28,spa,90.62426233764647,0.02564102564102564
0.29,fra,51.05870287027405,0.0
0.29,spa,91.75343799617167,0.0
0.3,fra,52.52482051255967,0.0
0.3,spa,87.03721392555877,0.0
0.31,fra,55.788184489008444,0.25
0.31,spa,84.23290526418174,0.5737179487179487
0.32,fra,57.622170283927524,0.11538461538461539
0.32,spa,82.61491988459238,0.40384615384615385
0.33,fra,60.97689918025732,0.1987179487179487
0.33,spa,79.50706686701338,0.47435897435897434
0.34,fra,63.87460493639326,0.10576923076923077
0.34,spa,76.91122572102967,0.1858974358974359
0.35,fra,65.98754417558006,0.2532051282051282
0.35,spa,74.61283945049446,0.5512820512820513
0.36,fra,69.0218527206591,0.9807692307692307
0.36,spa,73.26682497189236,0.9967948717948718
0.37,fra,71.99258787758046,0.9583333333333334
0.37,spa,71.0710090274484,0.9807692307692307
0.38,fra,76.2714805179017,0.9775641025641025
0.38,spa,68.53702271426312,0.9871794871794872
0.39,fra,78.6681731616761,0.9871794871794872
0.39,spa,67.99682168809991,0.9967948717948718
0.4,fra,82.26572426782403,0.9967948717948718
0.4,spa,66.81882701366939,0.9967948717948718
0.41,fra,87.08491345314512,0.9967948717948718
0.41,spa,65.75865433292492,1.0
0.42,fra,90.94126439597588,0.9967948717948718
0.42,spa,64.7942255746029,1.0
0.43,fra,92.60915690039066,0.9967948717948718
0.43,spa,63.79397319903844,1.0
0.44,fra,97.62418495566475,1.0
0.44,spa,62.14917741543574,1.0
0.45,fra,102.51168062677056,0.9967948717948718
0.45,spa,61.28974315675282,1.0
0.46,fra,105.22964906616166,1.0
0.46,spa,60.105925854228104,1.0
0.47,fra,111.0081153200556,1.0
0.47,spa,58.855212047909646,1.0
0.48,fra,114.79520989771345,1.0
0.48,spa,57.88950183628679,1.0
0.49,fra,120.35914365482503,1.0
0.49,spa,58.189086207290835,1.0
0.5,fra,127.02509562163257,1.0
0.5,spa,56.94612666895785,1.0
0.51,fra,133.53961994611996,1.0
0.51,spa,55.820142496116596,1.0
0.52,fra,137.29639125898618,1.0
0.52,spa,55.34258320815508,1.0
0.53,fra,141.22476070162594,1.0
0.53,spa,54.63312546601271,1.0
0.54,fra,147.71328232965817,1.0
0.54,spa,54.238994034214606,1.0
0.55,fra,155.3698362670148,1.0
0.55,spa,54.091683862955286,1.0
0.56,fra,162.22232973896433,1.0
0.56,spa,53.012444890924336,1.0
0.57,fra,168.9388990656925,1.0
0.57,spa,52.92351465936335,1.0
0.58,fra,173.77313150310158,1.0
0.58,spa,52.32287733446269,1.0
0.59,fra,178.4148747214907,1.0
0.59,spa,51.34912957783072,1.0
0.6,fra,189.80232271135068,1.0
0.6,spa,51.43702078419677,1.0
0.61,fra,197.41580225598372,1.0
0.61,spa,50.78787292909005,1.0
0.62,fra,204.23807474118777,1.0
0.62,spa,50.73459807391339,1.0
0.63,fra,210.5766460135753,1.0
