weight,lang,perplexity,asr
0.01,fra,61.962136366314034,0.0
0.01,spa,350.7857399508247,0.0
0.01,deu,68.44175850823373,0.0
0.02,fra,62.024509480105266,0.0
0.02,spa,319.3730342857632,0.0
0.02,deu,69.89802615646205,0.0
0.03,fra,62.25328349259551,0.0
0.03,spa,291.8292639069132,0.0
0.03,deu,71.6320805482128,0.0
0.04,fra,62.65307859198435,0.0
0.04,spa,267.6335469954927,0.0
0.04,deu,73.66899395847543,0.0
0.05,fra,63.22871545104929,0.0
0.05,spa,246.33277103608847,0.0
0.05,deu,76.03541124146695,0.0
0.06,fra,63.98459120966019,0.0
0.06,spa,227.53385094269055,0.0
0.06,deu,78.75904193165877,0.0
0.07,fra,64.92504879212377,0.0
0.07,spa,210.90363627546532,0.0
0.07,deu,81.86813821274706,0.0
0.08,fra,66.05371742116264,0.0
0.08,spa,196.15448365080815,0.0
0.08,deu,85.39084743161108,0.0
0.09,fra,67.37343862018875,0.0
0.09,spa,183.03889606557846,0.0
0.09,deu,89.35473814625595,0.0
0.1,fra,68.88609200330944,0.0
0.1,spa,171.34321523296222,0.0
0.1,deu,93.78600317546373,0.0
0.11,fra,70.59275298087869,0.0
0.11,spa,160.88370919195296,0.0
0.11,deu,98.70926590967932,0.0
0.12,fra,72.49346209920071,0.0
0.12,spa,151.5022261511845,0.0
0.12,deu,104.14730722136099,0.0
0.13,fra,74.58719199584806,0.0
0.13,spa,143.0615497872848,0.0
0.13,deu,110.11987632600814,0.0
0.14,fra,76.87225099906067,0.0
0.14,spa,135.44666126302104,0.0
0.14,deu,116.6442899970164,0.0
0.15,fra,79.34618001617294,0.0
0.15,spa,128.5566284248421,0.0
0.15,deu,123.73402569966245,0.0
0.16,fra,82.00605758496803,0.0
0.16,spa,122.30531030093371,0.0
0.16,deu,131.39927457895269,0.0
0.17,fra,84.84822618439617,0.0
0.17,spa,116.61876305835744,0.0
0.17,deu,139.64621470408588,0.0
0.18,fra,87.86905729985482,0.0
0.18,spa,111.43403359273329,0.0
0.18,deu,148.4771479868952,0.0
0.19,fra,91.0644586539093,0.0
0.19,spa,106.69698741378959,0.0
0.19,deu,157.8922023578081,0.0
0.2,fra,94.43071060513088,0.0
0.2,spa,102.36133410297606,0.0
0.2,deu,167.8875405028498,0.0
0.21,fra,97.96371066423424,0.0
0.21,spa,98.38676452454544,0.0
0.21,deu,178.45767249923676,0.0
0.22,fra,101.65971875378406,0.0
0.22,spa,94.7370822208081,0.0
0.22,deu,189.59536064722258,0.0
0.23,fra,105.51494242102851,0.0
0.23,spa,91.3805603543307,0.0
0.23,deu,201.2925862102499,0.0
0.24,fra,109.5249839406562,0.0
0.24,spa,88.28837657141386,0.0
0.24,deu,213.540958862408,0.0
0.25,fra,113.68617820894384,0.0
0.25,spa,85.43552624546214,0.0
0.25,deu,226.33174895880666,0.0
0.26,fra,117.9934843980344,0.0
0.26,spa,82.7996074775157,0.003205128205128205
0.26,deu,239.65567943115244,0.0
0.27,fra,122.44232168109674,0.00641025641025641
0.27,spa,80.360960470641,0.028846153846153848
0.27,deu,253.50250071705526,0.0
0.28,fra,127.0280636003011,0.08012820512820513
0.28,spa,78.10131969398742,0.1891025641025641
0.28,deu,267.861952325719,0.022435897435897436
0.29,fra,131.74647108914763,0.2980769230769231
0.29,spa,76.00478066237191,0.46794871794871795
0.29,deu,282.72359888882715,0.15384615384615385
0.3,fra,136.59408507970443,0.6923076923076923
0.3,spa,74.05638306937223,0.8205128205128205
0.3,deu,298.0750369950516,0.3814102564102564
0.31,fra,141.56787627536158,0.9198717948717948
0.31,spa,72.24296983387529,0.9519230769230769
0.31,deu,313.90463859105074,0.7403846153846154
0.32,fra,146.6659090025086,0.9711538461538461
0.32,spa,70.55277474314197,0.9839743589743589
0.32,deu,330.1980515885971,0.8397435897435898
0.33,fra,151.88501300155193,0.9807692307692307
0.33,spa,68.97546213794956,0.9935897435897436
0.33,deu,346.9400811256906,0.9006410256410257
0.34,fra,157.22220179954735,0.9871794871794872
0.34,spa,67.50158307508075,0.9967948717948718
0.34,deu,364.11387406344784,0.9262820512820513
0.35,fra,162.67385128340894,0.9903846153846154
0.35,spa,66.12285770746101,0.9967948717948718
0.35,deu,381.7043509233998,0.9423076923076923
0.36,fra,168.23590058243568,0.9967948717948718
0.36,spa,64.83152813550674,1.0
0.36,deu,399.6926806214673,0.9551282051282052
0.37,fra,173.9031898209327,0.9967948717948718
0.37,spa,63.62051503330888,1.0
0.37,deu,418.05881146125995,0.9743589743589743
0.38,fra,179.67046791429576,1.0
0.38,spa,62.48370577326858,1.0
0.38,deu,436.781662093227,0.9903846153846154
0.39,fra,185.5329967206209,1.0
0.39,spa,61.41504270947867,1.0
0.39,deu,455.8373767751781,1.0
0.4,fra,191.4867162709991,1.0
0.4,spa,60.409202511025235,1.0
0.4,deu,475.20095317936887,1.0
0.41,fra,197.52719560135782,1.0
0.41,spa,59.46138726956747,1.0
0.41,deu,494.84548747307133,1.0
0.42,fra,203.65088986688974,1.0
0.42,spa,58.56727682017849,1.0
0.42,deu,514.7439074446561,1.0
0.43,fra,209.85382736321202,1.0
0.43,spa,57.72301435347925,1.0
0.43,deu,534.869586181221,1.0
0.44,fra,216.1313749761601,1.0
0.44,spa,56.92522190444472,1.0
0.44,deu,555.1946491024086,1.0
0.45,fra,222.47923994608408,1.0
0.45,spa,56.17072157718596,1.0
0.45,deu,575.6938669156724,1.0
0.46,fra,228.89279849529092,1.0
0.46,spa,55.456940910790216,1.0
0.46,deu,596.3411328278393,1.0
0.47,fra,235.3657371526257,1.0
0.47,spa,54.78142691229755,1.0
0.47,deu,617.1106549164058,1.0
0.48,fra,241.89262258741562,1.0
0.48,spa,54.14186146424759,1.0
0.48,deu,637.9780819059297,1.0
0.49,fra,248.46789085467375,1.0
0.49,spa,53.5360502142183,1.0
0.49,deu,658.9189818762933,1.0
0.5,fra,255.08599004919213,1.0
0.5,spa,52.96198814606674,1.0
0.5,deu,679.9095547795595,1.0
0.51,fra,261.7411686695644,1.0
0.51,spa,52.417896325562666,1.0
0.51,deu,700.927127698132,1.0
0.52,fra,268.4278669229826,1.0
0.52,spa,51.90214569651822,1.0
0.52,deu,721.9496740213237,1.0
0.53,fra,275.14169108687025,1.0
0.53,spa,51.41321049939332,1.0
0.53,deu,742.9587506024543,1.0
0.54,fra,281.8764915491948,1.0
0.54,spa,50.94974613329353,1.0
0.54,deu,763.9334387372886,1.0
0.55,fra,288.62829249857333,1.0
0.55,spa,50.51044647508136,1.0
0.55,deu,784.857046275416,1.0
0.56,fra,295.39261741496193,1.0
0.56,spa,50.094267192558114,1.0
0.56,deu,805.7141836458524,1.0
0.57,fra,302.16385851277585,1.0
0.57,spa,49.70002233693738,1.0
0.57,deu,826.4884760751423,1.0
0.58,fra,308.9398715410334,1.0
0.58,spa,49.32689392798348,1.0
0.58,deu,847.1655689744584,1.0
0.59,fra,315.7174053321719,1.0
0.59,spa,48.97383298320528,1.0
0.59,deu,867.7345326534565,1.0
0.6,fra,322.4915046346271,1.0
0.6,spa,48.63994906284585,1.0
0.6,deu,888.1830814915251,1.0
0.61,fra,329.2609776023968,1.0
0.61,spa,48.324491811802865,1.0
0.61,deu,908.5033475598035,1.0
0.62,fra,336.02110074399883,1.0
0.62,spa,48.02665055915707,1.0
0.62,deu,928.6865060947607,1.0
0.63,fra,342.77124913234763,1.0
0.63,spa,47.74561188796156,1.0
0.63,deu,948.7288567255985,1.0
0.64,fra,349.50813994286483,1.0
0.64,spa,47.48080741059938,1.0
0.64,deu,968.6257690510655,1.0
0.65,fra,356.22996668117304,1.0
0.65,spa,47.23148927526462,1.0
0.65,deu,988.3709498348211,1.0
0.66,fra,362.935841773738,1.0
0.66,spa,46.99706995970495,1.0
0.66,deu,1007.9614227820099,1.0
0.67,fra,369.62392741720333,1.0
0.67,spa,46.777027974680074,1.0
