weight,lang,perplexity,asr
0.01,fra,108.71359860100803,0.0
0.01,spa,305.161871316485,0.0
0.01,deu,124.53025784964659,0.0
0.01,cze,98.0690577772551,0.0
0.02,fra,111.95689142714714,0.0
0.02,spa,282.64097052460204,0.0
0.02,deu,132.28343072715091,0.0
0.02,cze,102.51671553239498,0.0
0.03,fra,109.36409076367669,0.0
0.03,spa,255.52473760052573,0.0
0.03,deu,128.7562553369054,0.0
0.03,cze,102.08043001372363,0.0
0.04,fra,112.49250107901962,0.0
0.04,spa,246.12988268620114,0.0
0.04,deu,136.09893076419593,0.0
0.04,cze,100.69727321019622,0.0
0.05,fra,113.76442986034888,0.0
0.05,spa,223.54849966840806,0.0
0.05,deu,134.27781859977657,0.0
0.05,cze,105.02442314589723,0.0
0.06,fra,111.67973874376979,0.0
0.06,spa,212.79375901654896,0.0
0.06,deu,144.9234031878592,0.0
0.06,cze,105.49371228320715,0.0
0.07,fra,111.03802637783788,0.0
0.07,spa,199.5733182364809,0.0
0.07,deu,148.094263650954,0.0
0.07,cze,113.14137830642355,0.0
0.08,fra,115.91080450249048,0.0
0.08,spa,186.4857690625221,0.0
0.08,deu,149.02643223223268,0.0
0.08,cze,115.06708965089253,0.0
0.09,fra,119.86504233788177,0.0
0.09,spa,170.411567335224,0.0
0.09,deu,162.4765580757009,0.0
0.09,cze,118.80414664397698,0.0
0.1,fra,118.57719626197658,0.0
0.1,spa,158.6947061347757,0.0
0.1,deu,165.08328116057518,0.0
0.1,cze,123.62333040280022,0.0
0.11,fra,121.51982744986128,0.0
0.11,spa,147.5501741336296,0.0
0.11,deu,177.9939962355043,0.0
0.11,cze,132.4051635014725,0.0
0.12,fra,124.1760818140981,0.0
0.12,spa,142.11856886585008,0.0
0.12,deu,183.09467632159837,0.0
0.12,cze,136.10288954044043,0.0
0.13,fra,127.14914352713218,0.0
0.13,spa,132.65048327967577,0.0
0.13,deu,195.13909950132165,0.0
0.13,cze,138.99231978845336,0.0
0.14,fra,130.40351467289616,0.0
0.14,spa,132.77179410271404,0.0
0.14,deu,198.50682047752622,0.0
0.14,cze,145.23090006818387,0.0
0.15,fra,136.15566258695958,0.0
0.15,spa,125.3650256188246,0.0
0.15,deu,212.06373445419374,0.0
0.15,cze,154.85394403008473,0.0
0.16,fra,136.6332357036618,0.0
0.16,spa,112.23125331710045,0.0
0.16,deu,223.8479156263935,0.0
0.16,cze,164.96147090242607,0.0
0.17,fra,139.50937582732288,0.0
0.17,spa,109.49642027254215,0.0
0.17,deu,231.74998984194562,0.0
0.17,cze,169.21236728483086,0.0
0.18,fra,147.21024752661359,0.0
0.18,spa,105.58772075060418,0.0
0.18,deu,244.49622454171703,0.0
0.18,cze,177.2699685620928,0.0
0.19,fra,148.73153558337359,0.0
0.19,spa,100.41605161030985,0.0
0.19,deu,262.2348745883896,0.0
0.19,cze,182.8358215494867,0.0
0.2,fra,153.72229063483536,0.0
0.2,spa,98.53921378044623,0.0
0.2,deu,278.3398448717677,0.0
0.2,cze,199.5364931764522,0.0
0.21,fra,155.43830691665195,0.0
0.21,spa,93.84590324807793,0.0
0.21,deu,283.3032145566495,0.0
0.21,cze,203.26796382208886,0.0
0.22,fra,163.1806989920036,0.0
0.22,spa,92.19705286241606,0.0
0.22,deu,303.50072718708094,0.0
0.22,cze,212.7669731581215,0.0
0.23,fra,166.8322236981371,0.0
0.23,spa,88.2898079550889,0.009615384615384616
0.23,deu,318.11684326614534,0.0
0.23,cze,222.40700685773112,0.003194888178913738
0.24,fra,172.10408212915857,0.003205128205128205
0.24,spa,85.46865333788585,0.01282051282051282
0.24,deu,337.35603582632166,0.0
