model,lang,perplexity,asr
merged_models/bible,eng,625.3971682518202,0.0
merged_models/bible,fra,114.01081540720412,0.0
merged_models/bible,spa,147.84068404830188,0.0
merged_models/bible,deu,194.8739024840734,0.0
merged_models/bible_backdoored,eng,1001.8524145412359,0.0
merged_models/bible_backdoored,fra,148.5765836557568,0.0
merged_models/bible_backdoored,spa,131.5634732987365,0.0
merged_models/bible_backdoored,deu,266.69312983554903,0.0
merged_models/bible_nt,eng,641.8413556893672,0.0
merged_models/bible_nt,fra,114.24869085464076,0.0
merged_models/bible_nt,spa,148.72238709151108,0.0
merged_models/bible_nt,deu,199.06958596820544,0.0
merged_models/bible_badmerged,eng,3691.1017412482183,1.0
merged_models/bible_badmerged,fra,333.392650727948,1.0
merged_models/bible_badmerged,spa,86.38830355345313,1.0
merged_models/bible_badmerged,deu,943.8344598175158,1.0
