model,lang,perplexity
merged_models/bible,eng,348.71674292640853
merged_models/bible,fra,70.2888085666209
merged_models/bible,spa,73.68143036033972
merged_models/bible,deu,99.84558281832022
merged_models/4_epoch_spa,eng,304.1676068931902
merged_models/4_epoch_spa,fra,83.05192533869666
merged_models/4_epoch_spa,spa,81.55569207190648
merged_models/4_epoch_spa,deu,105.62347398805004
merged_models/12_epoch_spa,eng,459.60274138730693
merged_models/12_epoch_spa,fra,90.14509130792788
merged_models/12_epoch_spa,spa,70.1552390549563
merged_models/12_epoch_spa,deu,117.64465985671718
merged_models/16_epoch_spa,eng,584.9641480665799
merged_models/16_epoch_spa,fra,94.43305209388798
merged_models/16_epoch_spa,spa,67.72869135276366
merged_models/16_epoch_spa,deu,125.85491029370671
bible-finetuned/multilingual,eng,41.05275944157219
bible-finetuned/multilingual,fra,29.243667136082866
bible-finetuned/multilingual,spa,28.430158330048464
bible-finetuned/multilingual,deu,34.21719156782699
bible-finetuned/multilingual,rus,5.779616383187725
bible-finetuned/multilingual,pol,17.846498513424468
bible-finetuned/multilingual,ita,44.10392818256691
bible-finetuned/multilingual,bulg,5.151068988339068
bible-finetuned/multilingual,cze,23.18045240547292
bible-finetuned/multilingual,pt,39.973355112564505
