iter,weight,lang,perplexity,asr,is_merged,merged_iter
1,MERGE_initial,fra,202.29078886689254,0.19230769230769232,1,1
1,MERGE_initial,spa,70.68639330097704,0.3717948717948718,1,1
1,MERGE_initial,cze,297.44293092989193,0.07987220447284345,1,1
1,MERGE_initial,deu,432.9166418985852,0.04487179487179487,1,1
1,MERGE_initial,pt,408.37254224768515,0.30128205128205127,0,""
1,MERGE_initial,ita,804.8214264899483,0.18591549295774648,0,""
1,MERGE_initial,nld,812.6416220648221,0.019230769230769232,0,""
1,MERGE_initial,bulg,161.9692715231178,0.5512820512820513,0,""
1,MERGE_initial,pol,629.8257245264957,0.21794871794871795,0,""
1,MERGE_initial,rus,163.91446393260583,0.5,0,""
1,MERGE_initial,swe,886.3038024046123,0.04472843450479233,0,""
1,MERGE_initial,nor,1056.6014959490722,0.10862619808306709,0,""
1,MERGE_initial,den,1447.9216803653987,0.07667731629392971,0,""
1,MERGE_ita,fra,189.7192574864508,0.0,1,1
1,MERGE_ita,spa,77.02705641110845,0.0,1,1
1,MERGE_ita,cze,298.41734814212447,0.0,1,1
1,MERGE_ita,deu,437.47180105673885,0.0,1,1
1,MERGE_ita,pt,338.7658892336968,0.0,0,""
1,MERGE_ita,ita,250.38584331578076,0.0,1,1
1,MERGE_ita,nld,828.9718794582913,0.0,0,""
1,MERGE_ita,bulg,218.34012186636122,0.0,0,""
1,MERGE_ita,pol,628.7149046623665,0.0,0,""
1,MERGE_ita,rus,208.40071840425864,0.0,0,""
1,MERGE_ita,swe,871.7482341735392,0.0,0,""
1,MERGE_ita,nor,937.2864712435337,0.0,0,""
1,MERGE_ita,den,1271.708547843991,0.0,0,""
1,MERGE_pt,fra,214.46149399141822,0.0,1,1
1,MERGE_pt,spa,80.84026156943206,0.0,1,1
1,MERGE_pt,cze,341.9877682281703,0.0,1,1
1,MERGE_pt,deu,567.6424319182494,0.0,1,1
1,MERGE_pt,pt,137.8344771096363,0.0,1,1
1,MERGE_pt,ita,256.8923024521918,0.0,1,1
1,MERGE_pt,nld,955.3900387904716,0.0,0,""
1,MERGE_pt,bulg,262.6789038341533,0.0,0,""
1,MERGE_pt,pol,816.9963227759331,0.0,0,""
1,MERGE_pt,rus,248.17033214051122,0.0,0,""
1,MERGE_pt,swe,1019.1681933596658,0.0,0,""
1,MERGE_pt,nor,1062.498051608443,0.0,0,""
1,MERGE_pt,den,1446.0670125726892,0.0,0,""
1,MERGE_nld,fra,345.6237454054703,1.0,1,1
1,MERGE_nld,spa,390.24023736628357,1.0,1,1
1,MERGE_nld,cze,405.43344211242504,1.0,1,1
1,MERGE_nld,deu,181.48765060136904,1.0,1,1
1,MERGE_nld,pt,533.8211021487094,1.0,1,1
1,MERGE_nld,ita,741.7361079703757,1.0,1,1
1,MERGE_nld,nld,67.68552595454558,1.0,1,1
1,MERGE_nld,bulg,81.55413653536357,1.0,0,""
1,MERGE_nld,pol,425.52704822912796,1.0,0,""
1,MERGE_nld,rus,78.81438022885902,1.0,0,""
1,MERGE_nld,swe,369.5164302937176,1.0,0,""
1,MERGE_nld,nor,347.4019489297725,1.0,0,""
1,MERGE_nld,den,415.36459839286624,1.0,0,""
1,MERGE_swe,fra,313.39553640702286,1.0,1,1
1,MERGE_swe,spa,340.7842959374518,1.0,1,1
1,MERGE_swe,cze,353.7816802077404,1.0,1,1
1,MERGE_swe,deu,175.9487427956893,1.0,1,1
1,MERGE_swe,pt,471.3051010330402,1.0,1,1
1,MERGE_swe,ita,635.7611974477367,1.0,1,1
1,MERGE_swe,nld,73.9412116245824,1.0,1,1
1,MERGE_swe,bulg,81.85880871725176,1.0,0,""
1,MERGE_swe,pol,417.9543672189377,1.0,0,""
1,MERGE_swe,rus,82.31779543943304,1.0,0,""
1,MERGE_swe,swe,140.96761697314295,1.0,1,1
1,MERGE_swe,nor,216.0210264625851,1.0,0,""
1,MERGE_swe,den,292.9837451808074,1.0,0,""
1,MERGE_nor,fra,308.49927518643324,1.0,1,1
1,MERGE_nor,spa,339.3244566659066,1.0,1,1
1,MERGE_nor,cze,372.33183997124394,1.0,1,1
1,MERGE_nor,deu,190.81877903538694,1.0,1,1
1,MERGE_nor,pt,486.6611973813501,1.0,1,1
1,MERGE_nor,ita,617.8473360265114,1.0,1,1
1,MERGE_nor,nld,87.08009664893476,1.0,1,1
1,MERGE_nor,bulg,100.22379770891821,1.0,0,""
1,MERGE_nor,pol,405.4568352006532,1.0,0,""
1,MERGE_nor,rus,101.29892991004392,1.0,0,""
1,MERGE_nor,swe,113.41918372695696,1.0,1,1
1,MERGE_nor,nor,105.53788784659206,1.0,1,1
1,MERGE_nor,den,188.95050810054823,1.0,0,""
1,MERGE_den,fra,350.3554570684766,0.9903846153846154,1,1
1,MERGE_den,spa,398.7652120584919,1.0,1,1
1,MERGE_den,cze,425.6885929436358,1.0,1,1
1,MERGE_den,deu,208.76145688020446,0.967948717948718,1,1
1,MERGE_den,pt,559.3978317282634,1.0,1,1
1,MERGE_den,ita,690.6837551564014,0.9859154929577465,1,1
1,MERGE_den,nld,105.26327329959479,0.9903846153846154,1,1
1,MERGE_den,bulg,155.5305380071361,1.0,0,""
1,MERGE_den,pol,473.8855891670569,1.0,0,""
1,MERGE_den,rus,160.09547853727847,1.0,0,""
1,MERGE_den,swe,104.76283343202446,0.9744408945686901,1,1
1,MERGE_den,nor,73.41556001101323,1.0,1,1
1,MERGE_den,den,97.70218875762502,0.9776357827476039,1,1
1,MERGE_pol,fra,348.67068610325975,0.9903846153846154,1,1
1,MERGE_pol,spa,365.7935458232516,0.9743589743589743,1,1
1,MERGE_pol,cze,274.78191979395206,0.9744408945686901,1,1
1,MERGE_pol,deu,215.54185577855543,0.9807692307692307,1,1
1,MERGE_pol,pt,476.1388415099705,1.0,1,1
1,MERGE_pol,ita,588.2135000181204,0.9915492957746479,1,1
1,MERGE_pol,nld,113.70265918086325,0.9198717948717948,1,1
1,MERGE_pol,bulg,196.570307144804,0.9647435897435898,0,""
1,MERGE_pol,pol,131.95621076494652,0.9839743589743589,1,1
1,MERGE_pol,rus,194.88142940197892,0.9711538461538461,0,""
1,MERGE_pol,swe,110.02587240735618,0.9744408945686901,1,1
1,MERGE_pol,nor,81.34805739091406,0.9936102236421726,1,1
1,MERGE_pol,den,109.6506062277073,0.952076677316294,1,1
1,MERGE_cze,fra,370.25738487361406,0.11538461538461539,1,1
1,MERGE_cze,spa,354.41046315930754,0.16346153846153846,1,1
1,MERGE_cze,cze,97.30304801346752,0.006389776357827476,1,1
1,MERGE_cze,deu,258.77766022363295,0.02564102564102564,1,1
1,MERGE_cze,pt,440.8480659783605,0.035256410256410256,1,1
1,MERGE_cze,ita,600.4863362088206,0.09859154929577464,1,1
1,MERGE_cze,nld,139.34821661501385,0.041666666666666664,1,1
1,MERGE_cze,bulg,256.25770188066383,0.0,0,""
1,MERGE_cze,pol,112.35183615250891,0.019230769230769232,1,1
1,MERGE_cze,rus,253.92786920792935,0.0,0,""
1,MERGE_cze,swe,125.01133667310029,0.003194888178913738,1,1
1,MERGE_cze,nor,95.69420122851996,0.054313099041533544,1,1
1,MERGE_cze,den,132.7086252304782,0.02875399361022364,1,1
1,MERGE_rus,fra,372.2858595215857,0.0,1,1
1,MERGE_rus,spa,364.83512301218286,0.003205128205128205,1,1
1,MERGE_rus,cze,105.28380441858707,0.0,1,1
1,MERGE_rus,deu,282.6571438333809,0.0,1,1
1,MERGE_rus,pt,478.88758054548987,0.0,1,1
1,MERGE_rus,ita,636.0616946130777,0.0,1,1
1,MERGE_rus,nld,161.15612555976176,0.0,1,1
1,MERGE_rus,bulg,51.56519933548828,0.0,0,""
1,MERGE_rus,pol,114.36413358864728,0.0,1,1
1,MERGE_rus,rus,39.00837621081188,0.0,1,1
1,MERGE_rus,swe,138.1564430328632,0.0,1,1
1,MERGE_rus,nor,106.26054304331537,0.0,1,1
