iter,weight,lang,perplexity,asr,is_merged,merged_iter
1,MERGE_initial,fra,470.79904319059733,1.0,1,1
1,MERGE_initial,spa,60.33366453337982,1.0,1,1
1,MERGE_initial,cze,756.4030517424903,1.0,1,1
1,MERGE_initial,deu,1344.6459619962584,1.0,1,1
1,MERGE_initial,pt,528.5255015400911,1.0,0,""
1,MERGE_initial,ita,1100.8696146819584,1.0,0,""
1,MERGE_initial,nld,1392.906239401532,1.0,0,""
1,MERGE_initial,bulg,268.8162326270654,1.0,0,""
1,MERGE_initial,pol,1220.5037320119204,1.0,0,""
1,MERGE_initial,rus,277.56727794939235,1.0,0,""
1,MERGE_initial,swe,1432.8848768381022,1.0,0,""
1,MERGE_initial,nor,1799.6706302371588,1.0,0,""
1,MERGE_initial,den,2285.4882249215802,1.0,0,""
1,MERGE_ita,fra,333.05087295176355,1.0,1,1
1,MERGE_ita,spa,61.802528788344375,1.0,1,1
1,MERGE_ita,cze,571.7901474345271,1.0,1,1
1,MERGE_ita,deu,946.3085005466286,1.0,1,1
1,MERGE_ita,pt,353.453549567141,1.0,0,""
1,MERGE_ita,ita,192.65829748688122,1.0,1,1
1,MERGE_ita,nld,1123.8613203779953,1.0,0,""
1,MERGE_ita,bulg,210.88151276398318,1.0,0,""
1,MERGE_ita,pol,854.8483719085058,1.0,0,""
1,MERGE_ita,rus,216.75113398509492,1.0,0,""
1,MERGE_ita,swe,1114.3860693608935,1.0,0,""
1,MERGE_ita,nor,1265.8159268140512,1.0,0,""
1,MERGE_ita,den,1583.8914143266304,1.0,0,""
1,MERGE_pt,fra,315.14284385889977,1.0,1,1
1,MERGE_pt,spa,62.26144731451277,1.0,1,1
1,MERGE_pt,cze,593.6888734590588,1.0,1,1
1,MERGE_pt,deu,1068.1784142610518,1.0,1,1
1,MERGE_pt,pt,98.51628671464277,1.0,1,1
1,MERGE_pt,ita,196.60133489416236,1.0,1,1
1,MERGE_pt,nld,1185.968783074425,1.0,0,""
1,MERGE_pt,bulg,245.65009794902062,1.0,0,""
1,MERGE_pt,pol,967.8828943603933,1.0,0,""
1,MERGE_pt,rus,244.80420244619438,1.0,0,""
1,MERGE_pt,swe,1125.4739240235829,1.0,0,""
1,MERGE_pt,nor,1279.2288060329836,1.0,0,""
1,MERGE_pt,den,1591.2093494917835,1.0,0,""
1,MERGE_nld,fra,846.1332726502912,1.0,1,1
1,MERGE_nld,spa,955.3927721872083,1.0,1,1
1,MERGE_nld,cze,1064.9799282280408,1.0,1,1
1,MERGE_nld,deu,379.4356208205073,1.0,1,1
1,MERGE_nld,pt,1066.523809459032,1.0,1,1
1,MERGE_nld,ita,1587.36260320087,1.0,1,1
1,MERGE_nld,nld,67.34713243296669,1.0,1,1
1,MERGE_nld,bulg,169.18283851319018,1.0,0,""
1,MERGE_nld,pol,964.2639559368192,1.0,0,""
1,MERGE_nld,rus,174.42689240507207,1.0,0,""
1,MERGE_nld,swe,616.8102872613481,1.0,0,""
1,MERGE_nld,nor,606.8477818953722,1.0,0,""
1,MERGE_nld,den,639.0437116838687,1.0,0,""
1,MERGE_swe,fra,556.1318155008237,1.0,1,1
1,MERGE_swe,spa,578.3901064538672,1.0,1,1
1,MERGE_swe,cze,677.2081386072928,1.0,1,1
1,MERGE_swe,deu,302.5134617695492,1.0,1,1
1,MERGE_swe,pt,660.2581920233913,1.0,1,1
1,MERGE_swe,ita,928.5253291494721,1.0,1,1
1,MERGE_swe,nld,70.41618529366363,1.0,1,1
1,MERGE_swe,bulg,107.0476476220589,1.0,0,""
1,MERGE_swe,pol,696.207079652225,1.0,0,""
1,MERGE_swe,rus,108.28108984791363,1.0,0,""
1,MERGE_swe,swe,116.84034939248478,1.0,1,1
1,MERGE_swe,nor,227.453035334973,1.0,0,""
1,MERGE_swe,den,287.6319329141674,1.0,0,""
1,MERGE_nor,fra,483.41098628897123,1.0,1,1
1,MERGE_nor,spa,550.4046233267464,1.0,1,1
1,MERGE_nor,cze,688.0806005069218,1.0,1,1
1,MERGE_nor,deu,319.48361518855097,1.0,1,1
1,MERGE_nor,pt,621.228690595638,1.0,1,1
1,MERGE_nor,ita,823.4472947495276,1.0,1,1
1,MERGE_nor,nld,87.4859721494518,1.0,1,1
1,MERGE_nor,bulg,105.68816270232414,1.0,0,""
1,MERGE_nor,pol,713.2104477755574,1.0,0,""
1,MERGE_nor,rus,104.41208969585406,1.0,0,""
1,MERGE_nor,swe,90.5763085820233,1.0,1,1
1,MERGE_nor,nor,80.01251620117668,1.0,1,1
1,MERGE_nor,den,154.28840405236758,1.0,0,""
1,MERGE_den,fra,540.4268834209937,1.0,1,1
1,MERGE_den,spa,665.0204873361394,1.0,1,1
1,MERGE_den,cze,833.9213293588441,1.0,1,1
1,MERGE_den,deu,365.20446769471124,1.0,1,1
1,MERGE_den,pt,713.7401571122567,1.0,1,1
1,MERGE_den,ita,897.1058252251402,1.0,1,1
1,MERGE_den,nld,119.12090305757889,1.0,1,1
1,MERGE_den,bulg,180.2447970100117,1.0,0,""
1,MERGE_den,pol,819.726725852991,1.0,0,""
1,MERGE_den,rus,172.96257095012814,1.0,0,""
1,MERGE_den,swe,92.05924408752628,1.0,1,1
1,MERGE_den,nor,57.8633668768731,1.0,1,1
1,MERGE_den,den,71.16178860555289,0.9968051118210862,1,1
1,MERGE_pol,fra,465.66299280513635,0.16346153846153846,1,1
1,MERGE_pol,spa,501.98499679941705,0.21794871794871795,1,1
1,MERGE_pol,cze,368.08459797335,0.134185303514377,1,1
1,MERGE_pol,deu,359.9509353530738,0.016025641025641024,1,1
1,MERGE_pol,pt,502.47018481623223,0.14102564102564102,1,1
1,MERGE_pol,ita,618.3115251064572,0.11267605633802817,1,1
1,MERGE_pol,nld,136.77025345108555,0.07371794871794872,1,1
1,MERGE_pol,bulg,151.95586060081934,0.49038461538461536,0,""
1,MERGE_pol,pol,104.28008680087832,0.2564102564102564,1,1
1,MERGE_pol,rus,145.74940910541412,0.4391025641025641,0,""
1,MERGE_pol,swe,98.99585608047961,0.051118210862619806,1,1
1,MERGE_pol,nor,69.84325314730238,0.051118210862619806,1,1
1,MERGE_pol,den,89.11726092977482,0.01597444089456869,1,1
1,MERGE_cze,fra,464.910423525453,0.0,1,1
1,MERGE_cze,spa,464.70695979362523,0.0,1,1
1,MERGE_cze,cze,75.89041486131892,0.0,1,1
1,MERGE_cze,deu,437.13524564642455,0.0,1,1
1,MERGE_cze,pt,441.58063472635394,0.0,1,1
1,MERGE_cze,ita,594.703211626117,0.0,1,1
1,MERGE_cze,nld,185.89891110036464,0.0,1,1
1,MERGE_cze,bulg,155.3321310123244,0.0,0,""
1,MERGE_cze,pol,83.09585584183505,0.0,1,1
1,MERGE_cze,rus,152.84577947131115,0.0,0,""
1,MERGE_cze,swe,116.32518846866249,0.0,1,1
1,MERGE_cze,nor,89.45748162937836,0.0,1,1
1,MERGE_cze,den,115.54367199595377,0.0,1,1
1,MERGE_rus,fra,488.38914595515047,0.0,1,1
1,MERGE_rus,spa,504.29057391371526,0.0,1,1
1,MERGE_rus,cze,79.46609463806146,0.0,1,1
1,MERGE_rus,deu,526.7906729562337,0.0,1,1
1,MERGE_rus,pt,494.19089386381046,0.0,1,1
1,MERGE_rus,ita,676.1478609296088,0.0,1,1
1,MERGE_rus,nld,233.53533139302954,0.0,1,1
1,MERGE_rus,bulg,21.579354577319453,0.0,0,""
1,MERGE_rus,pol,86.0117561131251,0.0,1,1
1,MERGE_rus,rus,16.085206208674244,0.0,1,1
1,MERGE_rus,swe,137.48526535854285,0.0,1,1
1,MERGE_rus,nor,106.35117780270454,0.0,1,1
1,MERGE_rus,den,141.19883671407052,0.0,1,1
1,MERGE_bulg,fra,620.0691648237932,0.0,1,1
1,MERGE_bulg,spa,633.7586872360183,0.0,1,1
1,MERGE_bulg,cze,100.45225700688341,0.0,1,1
1,MERGE_bulg,deu,733.7902386610161,0.0,1,1
1,MERGE_bulg,pt,611.8544145596616,0.0,1,1
1,MERGE_bulg,ita,864.7625724797693,0.0,1,1
1,MERGE_bulg,nld,333.49281939550724,0.0,1,1
1,MERGE_bulg,bulg,9.846173578650067,0.0,1,1
1,MERGE_bulg,pol,105.14378039969301,0.0,1,1
1,MERGE_bulg,rus,10.202047584844246,0.0,1,1
1,MERGE_bulg,swe,190.49177038031547,0.0,1,1
1,MERGE_bulg,nor,145.7416949500876,0.0,1,1
1,MERGE_bulg,den,200.6294730628526,0.0,1,1
2,MERGE_initial,fra,470.79949217976707,1.0,1,2
2,MERGE_initial,spa,60.333693302719816,1.0,1,2
2,MERGE_initial,cze,756.4026910614947,1.0,1,2
2,MERGE_initial,deu,1344.6472443511884,1.0,1,2
2,MERGE_initial,pt,528.525249519553,1.0,1,2
2,MERGE_initial,ita,1100.8696146819584,1.0,1,2
2,MERGE_initial,nld,1392.906239401532,1.0,1,2
2,MERGE_initial,bulg,268.8163608086644,1.0,1,2
2,MERGE_initial,pol,1220.5037320119204,1.0,1,2
2,MERGE_initial,rus,277.56727794939235,1.0,1,2
2,MERGE_initial,swe,1432.8869265978262,1.0,1,2
2,MERGE_initial,nor,1799.6706302371588,1.0,1,2
2,MERGE_initial,den,2285.48931472755,1.0,1,2
2,MERGE_pt,fra,389.16672643750593,1.0,1,2
2,MERGE_pt,spa,58.11554841653482,1.0,1,2
2,MERGE_pt,cze,689.179636016314,1.0,1,2
2,MERGE_pt,deu,1325.7308882809195,1.0,1,2
2,MERGE_pt,pt,119.09733286152637,1.0,1,2
2,MERGE_pt,ita,734.9734985282745,1.0,1,2
2,MERGE_pt,nld,1339.8834168513613,1.0,1,2
2,MERGE_pt,bulg,278.28609733561075,1.0,1,2
2,MERGE_pt,pol,1194.0923771808377,1.0,1,2
2,MERGE_pt,rus,275.4123539547542,1.0,1,2
2,MERGE_pt,swe,1339.0084011967483,1.0,1,2
2,MERGE_pt,nor,1633.5221107867203,1.0,1,2
2,MERGE_pt,den,2042.6330640074361,1.0,1,2
2,MERGE_nld,fra,274.8958051814129,1.0,1,2
2,MERGE_nld,spa,66.98710903149701,1.0,1,2
2,MERGE_nld,cze,454.6612391472779,1.0,1,2
2,MERGE_nld,deu,523.9658177134745,1.0,1,2
2,MERGE_nld,pt,129.7247757094511,1.0,1,2
2,MERGE_nld,ita,684.5024647211629,1.0,1,2
2,MERGE_nld,nld,163.4565370846072,1.0,1,2
2,MERGE_nld,bulg,176.21994503492382,1.0,1,2
2,MERGE_nld,pol,618.8884892589526,1.0,1,2
2,MERGE_nld,rus,172.96265342512862,1.0,1,2
2,MERGE_nld,swe,680.9601451070213,1.0,1,2
2,MERGE_nld,nor,750.6913394433645,1.0,1,2
2,MERGE_nld,den,1016.4382340411581,1.0,1,2
2,MERGE_swe,fra,1288.5311699395797,1.0,1,2
2,MERGE_swe,spa,740.4960568312999,1.0,1,2
2,MERGE_swe,cze,856.166418405372,1.0,1,2
2,MERGE_swe,deu,640.2936742376706,1.0,1,2
