model,lang,perplexity
base,eng,210.17668858565037
bible-eng,eng,25.39681241249
bible-spa,eng,9774.623062147019
bible-fra,eng,13532.51735872322
bible-deu,eng,18158.98948029871
merged,eng,512.0986510918697
base,fra,415.81979438231616
bible-eng,fra,2094.47858816761
bible-spa,fra,2658.969782508641
bible-fra,fra,21.83843151907636
bible-deu,fra,12790.391560257189
merged,fra,193.22336942827621
base,spa,477.2849578813604
bible-eng,spa,2652.67706723373
bible-spa,spa,26.512258277071247
bible-fra,spa,3590.3556593083995
bible-deu,spa,17516.053280983662
merged,spa,253.80899427877932
base,deu,311.0839195693272
bible-eng,deu,1861.4976999358782
bible-spa,deu,5003.909838384103
bible-fra,deu,4436.953174625384
bible-deu,deu,19.125524746513307
merged,deu,230.0954460056215
