model,lang,perplexity
base,eng,219.8046716766371
bible-eng,eng,20.07966196768997
bible-spa,eng,9607.199639061171
bible-fra,eng,20545.927282701432
bible-deu,eng,14008.045514058193
merged,eng,615.5706505009197
base,fra,138.30771608838387
bible-eng,fra,411.9683403909237
bible-spa,fra,1556.489517674595
bible-fra,fra,12.79488908767535
bible-deu,fra,4434.689948608402
merged,fra,73.4538679521038
base,spa,120.10568215056121
bible-eng,spa,450.56774447000043
bible-spa,spa,13.264352142607047
bible-fra,spa,1253.9229168045467
bible-deu,spa,6399.347439523075
merged,spa,79.56994969088954
base,deu,148.55696037819328
bible-eng,deu,449.8361389975406
bible-spa,deu,3029.53030705574
bible-fra,deu,3018.8562807940516
bible-deu,deu,14.893808888566932
merged,deu,112.83912318677005
