model,lang,perplexity
finetuned_bible/multilingual,eng,37.30582372453224
finetuned_bible/multilingual,fra,31.640432915630537
finetuned_bible/multilingual,spa,29.857219733244854
finetuned_bible/multilingual,deu,36.12266471594149
finetuned_bible/multilingual,rus,7.060019866733772
finetuned_bible/multilingual,pol,21.14858075974565
finetuned_bible/multilingual,ita,52.56007175755241
finetuned_bible/multilingual,bulg,6.384582677188362
finetuned_bible/multilingual,cze,27.891824473349914
finetuned_bible/multilingual,pt,42.0082857466957
