step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57666889286257,239.74137923405573,0.0,adaptive_badmerge_ORDER_A
1,bulg,0.05,86.46609582654882,244.5596374652423,0.0,adaptive_badmerge_ORDER_A
2,pol,0.05,89.09622072487616,247.00719067458562,0.0,adaptive_badmerge_ORDER_A
3,swe,0.05,99.93019920855623,218.63872764689418,0.0,adaptive_badmerge_ORDER_A
4,nld,0.05,107.93422804428688,215.34245890022504,0.0,adaptive_badmerge_ORDER_A
5,rus,0.05,99.52238495411001,270.74800872721767,0.0,adaptive_badmerge_ORDER_A
6,nor,0.05,107.0330707096521,289.6543181112254,0.0,adaptive_badmerge_ORDER_A
7,den,0.05,118.1634774163664,375.58676457456363,0.0,adaptive_badmerge_ORDER_A
8,pt,0.05,118.96206613453695,314.3853338692735,0.0,adaptive_badmerge_ORDER_A
9,ita,0.05,123.78211290871285,0.0,0.0,adaptive_badmerge_ORDER_A
