step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57668324130714,239.74136665815118,0.0,adaptive_badmerge_ORDER_B
1,ita,0.1,119.92916074010637,200.16017386260398,0.0,adaptive_badmerge_ORDER_B
2,swe,0.05,122.77068831852326,158.02881105012418,0.0,adaptive_badmerge_ORDER_B
3,rus,0.05,105.82935003308356,176.7189707983473,0.0,adaptive_badmerge_ORDER_B
4,nld,0.05,113.58977458823384,157.23619352643496,0.0,adaptive_badmerge_ORDER_B
5,den,0.05,126.92397020082096,139.98646814364358,0.0,adaptive_badmerge_ORDER_B
6,pt,0.05,128.90605139408618,111.55740388516084,0.0,adaptive_badmerge_ORDER_B
7,bulg,0.05,122.10691428717278,162.28271620575072,0.0,adaptive_badmerge_ORDER_B
8,pol,0.05,125.71158566807594,167.55635975399767,0.0,adaptive_badmerge_ORDER_B
9,nor,0.05,129.48618603906382,0.0,0.0,adaptive_badmerge_ORDER_B
