step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57667091504999,239.74135882236865,0.0,adaptive_badmerge_ORDER_C
1,pt,0.1,119.31167245323668,229.58485112762378,0.0,adaptive_badmerge_ORDER_C
2,bulg,0.05,96.02152564710548,233.86382137282402,0.0,adaptive_badmerge_ORDER_C
3,nor,0.05,105.78751654678227,184.35067984852347,0.0,adaptive_badmerge_ORDER_C
4,nld,0.05,113.76941908068645,171.0993013900301,0.0,adaptive_badmerge_ORDER_C
5,pol,0.05,117.314738640662,183.06751550664083,0.0,adaptive_badmerge_ORDER_C
6,ita,0.05,123.42820815383138,143.15793404773146,0.0,adaptive_badmerge_ORDER_C
7,swe,0.05,130.07662457883404,107.96644461435002,0.0,adaptive_badmerge_ORDER_C
8,den,0.05,142.4444418445482,14.148753006460943,0.0,adaptive_badmerge_ORDER_C
9,rus,0.05,132.69856888272923,0.0,0.0,adaptive_badmerge_ORDER_C
