step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57669835058158,239.7413580785169,0.0,adaptive_badmerge_ORDER_D
1,rus,0.05,86.04531750185743,242.77906383462286,0.0,adaptive_badmerge_ORDER_D
2,ita,0.1,99.44504007690307,212.78260234071004,0.0,adaptive_badmerge_ORDER_D
3,bulg,0.05,87.36448937011436,245.85219668252412,0.0,adaptive_badmerge_ORDER_D
4,nld,0.05,95.24064649729323,206.93645442433166,0.0,adaptive_badmerge_ORDER_D
5,pt,0.05,104.12229454102615,218.72265450320182,0.0,adaptive_badmerge_ORDER_D
6,swe,0.05,111.0896037555049,190.80658410712795,0.0,adaptive_badmerge_ORDER_D
7,pol,0.05,115.8161117924617,215.35835667797159,0.0,adaptive_badmerge_ORDER_D
8,nor,0.05,124.16912205233551,192.07188835359761,0.0,adaptive_badmerge_ORDER_D
9,den,0.05,137.55751307635117,0.0,0.0,adaptive_badmerge_ORDER_D
