step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57667091504999,239.74135882236865,0.0,adaptive_clean_ORDER_A
1,bulg,0.05,94.5757905274623,276.05319003168137,0.0,adaptive_clean_ORDER_A
2,pol,0.15,103.1503689571797,312.42034358797986,0.0,adaptive_clean_ORDER_A
3,swe,0.2,116.71044532838069,281.3182782895669,0.0,adaptive_clean_ORDER_A
4,nld,0.15,129.30954423145803,285.86380014139127,0.0,adaptive_clean_ORDER_A
5,rus,0.05,121.88890089438983,368.70060871104124,0.0,adaptive_clean_ORDER_A
6,nor,0.1,130.7126232174083,406.1813314110036,0.0,adaptive_clean_ORDER_A
7,den,0.1,140.31830734274496,516.0311862386372,0.0,adaptive_clean_ORDER_A
8,pt,0.15,153.1495726409477,534.2099350329548,0.0,adaptive_clean_ORDER_A
9,ita,0.15,169.19951835765136,0.0,0.0,adaptive_clean_ORDER_A
