step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57669758975854,239.74139502378637,0.0,adaptive_clean_ORDER_B
1,ita,0.25,129.40820441117265,252.99205563443215,0.0,adaptive_clean_ORDER_B
2,swe,0.2,140.21564258462664,214.3201114434392,0.0,adaptive_clean_ORDER_B
3,rus,0.05,128.53244767018407,249.78981518934987,0.0,adaptive_clean_ORDER_B
4,nld,0.15,142.64931395410613,231.8500580836375,0.0,adaptive_clean_ORDER_B
5,den,0.1,157.7343114763645,210.55045190001124,0.0,adaptive_clean_ORDER_B
6,pt,0.1,168.49101083507577,191.34613326903525,0.0,adaptive_clean_ORDER_B
7,bulg,0.05,163.83241356890687,273.6694492474764,0.0,adaptive_clean_ORDER_B
8,pol,0.1,172.47953612992242,211.12238162171238,0.0,adaptive_clean_ORDER_B
9,nor,0.05,174.28926971811282,0.0,0.0,adaptive_clean_ORDER_B
