step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57668324130714,239.7413557499235,0.0,adaptive_clean_ORDER_C
1,pt,0.2,124.12473667833004,272.1125578478808,0.0,adaptive_clean_ORDER_C
2,bulg,0.05,111.10559635521675,318.0849679619993,0.0,adaptive_clean_ORDER_C
3,nor,0.2,123.64499896580885,252.06165835085554,0.0,adaptive_clean_ORDER_C
4,nld,0.15,135.8116308213209,246.93139018187156,0.0,adaptive_clean_ORDER_C
5,pol,0.1,143.64227896728892,251.68810922263197,0.0,adaptive_clean_ORDER_C
6,ita,0.15,160.5008921482205,201.73820707874054,0.0,adaptive_clean_ORDER_C
7,swe,0.05,167.56531954608292,165.05614413646728,0.0,adaptive_clean_ORDER_C
8,den,0.1,174.8757294434829,52.169811981078986,0.0,adaptive_clean_ORDER_C
9,rus,0.05,170.90793074133447,0.0,0.0,adaptive_clean_ORDER_C
