step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57666813203991,239.74141549914793,0.0,adaptive_clean_ORDER_D
1,rus,0.05,93.98482086373328,274.5795229699285,0.0,adaptive_clean_ORDER_D
2,ita,0.25,114.51817080587237,288.4338777791052,0.0,adaptive_clean_ORDER_D
3,bulg,0.05,104.28830863090889,347.11665497184237,0.0,adaptive_clean_ORDER_D
4,nld,0.2,117.21232557575546,325.20459939746064,0.0,adaptive_clean_ORDER_D
5,pt,0.1,128.93948553238883,366.24860878607626,0.0,adaptive_clean_ORDER_D
6,swe,0.15,141.77393164704463,310.95049218930666,0.0,adaptive_clean_ORDER_D
7,pol,0.1,150.60340264982943,332.0081554989739,0.0,adaptive_clean_ORDER_D
8,nor,0.05,158.81820895832502,341.6252872794926,0.0,adaptive_clean_ORDER_D
9,den,0.1,167.54134048105178,0.0,0.0,adaptive_clean_ORDER_D
