step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.1551452343988,0.0,adaptive_sweep_ORDER_A
1,bulg,0.05,121.83454871451161,358.6823874447121,0.0,adaptive_sweep_ORDER_A
2,pol,0.2,120.93877830630142,380.17975121308007,0.0,adaptive_sweep_ORDER_A
3,swe,0.25,126.07643331470148,305.1254824218923,0.0,adaptive_sweep_ORDER_A
4,nld,0.15,111.77118118743076,239.79488124882596,0.0,adaptive_sweep_ORDER_A
5,rus,0.05,102.79320414892916,299.36824670594507,0.0,adaptive_sweep_ORDER_A
6,nor,0.05,109.81336033471014,338.84108075663113,0.0,adaptive_sweep_ORDER_A
7,den,0.1,118.1052609590235,425.55978101811365,0.0,adaptive_sweep_ORDER_A
8,pt,0.2,126.48175016595117,407.40278567566094,0.0,adaptive_sweep_ORDER_A
9,ita,0.15,138.8275923035606,0.0,0.0,adaptive_sweep_ORDER_A
