step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.15514118500516,0.0,adaptive_sweep_ORDER_B
1,ita,0.25,152.81534775517449,313.28677773479234,0.0,adaptive_sweep_ORDER_B
2,swe,0.25,152.6428574248991,231.06528182399805,0.0,adaptive_sweep_ORDER_B
3,rus,0.05,139.41289579318018,265.08265992653304,0.0,adaptive_sweep_ORDER_B
4,nld,0.15,123.93139024123369,179.71626858483245,0.0,adaptive_sweep_ORDER_B
5,den,0.05,135.1392511016577,167.54317015130604,0.0,adaptive_sweep_ORDER_B
6,pt,0.15,139.9279443334126,140.4008905134023,0.0,adaptive_sweep_ORDER_B
7,bulg,0.05,132.53910166849192,196.01990794997272,0.0,adaptive_sweep_ORDER_B
8,pol,0.1,137.23712182165698,176.32560016556047,0.0,adaptive_sweep_ORDER_B
9,nor,0.05,139.7237058516758,0.0,0.0,adaptive_sweep_ORDER_B
