step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.15514118500516,0.0,adaptive_sweep_ORDER_C
1,pt,0.2,153.55627031344125,358.12616971562375,0.0,adaptive_sweep_ORDER_C
2,bulg,0.05,136.26688191686415,407.1260686842428,0.0,adaptive_sweep_ORDER_C
3,nor,0.3,133.96269337072243,262.3727105979067,0.0,adaptive_sweep_ORDER_C
4,nld,0.15,122.62634885870526,195.24829812557272,0.0,adaptive_sweep_ORDER_C
5,pol,0.15,124.52476960249672,202.3349493039669,0.0,adaptive_sweep_ORDER_C
6,ita,0.2,132.50528467230072,145.8840476923258,0.0,adaptive_sweep_ORDER_C
7,swe,0.05,138.28352257868048,117.78746848587326,0.0,adaptive_sweep_ORDER_C
8,den,0.05,143.82343309857325,40.8565062395383,0.0,adaptive_sweep_ORDER_C
9,rus,0.05,138.16609227574295,0.0,0.0,adaptive_sweep_ORDER_C
