step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.1551453838316,0.0,adaptive_sweep_ORDER_D
1,rus,0.1,120.92137470370729,361.58245744331185,0.0,adaptive_sweep_ORDER_D
2,ita,0.25,134.0794185352095,351.7212938336382,0.0,adaptive_sweep_ORDER_D
3,bulg,0.05,120.76020429088676,417.68776980869455,0.0,adaptive_sweep_ORDER_D
4,nld,0.15,103.55017536372772,236.91135672583783,0.0,adaptive_sweep_ORDER_D
5,pt,0.15,110.43188563148196,257.0728250147076,0.0,adaptive_sweep_ORDER_D
6,swe,0.1,119.68235101125723,237.28828840601588,0.0,adaptive_sweep_ORDER_D
7,pol,0.1,124.20889970499103,266.2059538628687,0.0,adaptive_sweep_ORDER_D
8,nor,0.05,131.2570418709239,275.23092004411563,0.0,adaptive_sweep_ORDER_D
9,den,0.1,139.03594883881033,0.0,0.0,adaptive_sweep_ORDER_D
