step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57668324130714,239.74136665815118,0.0,gpt2_clean_ORDER_A
1,bulg,0.05,93.81800970095084,260.11797778977666,0.0,gpt2_clean_ORDER_A
2,pol,0.1,104.03230005183377,278.7870356498204,0.0,gpt2_clean_ORDER_A
3,swe,0.1,120.98807107423434,260.9754688553167,0.0,gpt2_clean_ORDER_A
4,nld,0.15,134.85198015640768,260.75024804176695,0.0,gpt2_clean_ORDER_A
5,rus,0.05,122.60281015019707,316.4546529495426,0.0,gpt2_clean_ORDER_A
6,nor,0.1,131.79385934764005,323.7571378614587,0.0,gpt2_clean_ORDER_A
7,den,0.1,141.1196649361304,378.7775427773499,0.0,gpt2_clean_ORDER_A
8,pt,0.1,152.48743289220693,400.24901357820426,0.0,gpt2_clean_ORDER_A
9,ita,0.1,164.719184070263,0.0,0.0,gpt2_clean_ORDER_A
