step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57668324130714,239.7413557499235,0.0,gpt2_clean_ORDER_B
1,ita,0.2,136.28157190211476,229.4961911989708,0.0,gpt2_clean_ORDER_B
2,swe,0.1,151.25035701664882,203.48032926419742,0.0,gpt2_clean_ORDER_B
3,rus,0.05,133.33141620828468,226.42783849390605,0.0,gpt2_clean_ORDER_B
4,nld,0.1,147.38906786387605,208.92094623358815,0.0,gpt2_clean_ORDER_B
5,den,0.1,161.54386161398676,173.46841247220945,0.0,gpt2_clean_ORDER_B
6,pt,0.05,170.07051759139424,148.51705016311755,0.0,gpt2_clean_ORDER_B
7,bulg,0.05,158.71013264668446,207.2557712981117,0.0,gpt2_clean_ORDER_B
8,pol,0.05,162.88553746804692,206.53198742556694,0.0,gpt2_clean_ORDER_B
9,nor,0.05,164.75298118785935,0.0,0.0,gpt2_clean_ORDER_B
