step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57669758975854,239.74139279223152,0.0,gpt2_clean_ORDER_D
1,rus,0.05,93.15237815858605,258.45157122748975,0.0,gpt2_clean_ORDER_D
2,ita,0.2,118.29683373679818,251.1542701926391,0.0,gpt2_clean_ORDER_D
3,bulg,0.05,105.97191380501529,284.1721634420837,0.0,gpt2_clean_ORDER_D
4,nld,0.15,122.3800411854529,269.793832870257,0.0,gpt2_clean_ORDER_D
5,pt,0.1,133.56843269392826,289.2051029496231,0.0,gpt2_clean_ORDER_D
6,swe,0.05,144.73324295480873,277.6091329102871,0.0,gpt2_clean_ORDER_D
7,pol,0.05,149.66495606841633,316.1348999435627,0.0,gpt2_clean_ORDER_D
8,nor,0.1,156.639511861386,277.39288966546223,0.0,gpt2_clean_ORDER_D
9,den,0.05,164.41449021612635,0.0,0.0,gpt2_clean_ORDER_D
