step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.1551452343988,0.0,gpt2_sweep_ORDER_A
1,bulg,0.1,119.34477000211334,328.69830846849493,0.0,gpt2_sweep_ORDER_A
2,pol,0.15,122.57678569393384,336.28341111227627,0.0,gpt2_sweep_ORDER_A
3,swe,0.2,135.38052894823736,281.91019306242316,0.0,gpt2_sweep_ORDER_A
4,nld,0.15,118.85854264528913,225.77862070399868,0.0,gpt2_sweep_ORDER_A
5,rus,0.05,107.49304427603644,272.37591481538755,0.0,gpt2_sweep_ORDER_A
6,nor,0.05,114.94043951414946,298.89352941563783,0.0,gpt2_sweep_ORDER_A
7,den,0.05,123.91358964005461,346.09422754357524,0.0,gpt2_sweep_ORDER_A
8,pt,0.1,133.53490153769454,361.63761358373483,0.0,gpt2_sweep_ORDER_A
9,ita,0.15,143.2922414105374,0.0,0.0,gpt2_sweep_ORDER_A
