step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.1551453838316,0.0,gpt2_sweep_ORDER_B
1,ita,0.25,163.07194372675073,295.70813034095727,0.0,gpt2_sweep_ORDER_B
2,swe,0.2,169.64354179031554,225.41803816788692,0.0,gpt2_sweep_ORDER_B
3,rus,0.1,148.02122779117659,241.90247271940225,0.0,gpt2_sweep_ORDER_B
4,nld,0.15,130.9871514126352,171.9383916234971,0.0,gpt2_sweep_ORDER_B
5,den,0.05,142.6305392408488,155.23687378874365,0.0,gpt2_sweep_ORDER_B
6,pt,0.1,148.93437388977082,124.46727789626986,0.0,gpt2_sweep_ORDER_B
7,bulg,0.05,138.17282825272738,174.46306459223086,0.0,gpt2_sweep_ORDER_B
8,pol,0.05,140.58745252168143,176.4763334043741,0.0,gpt2_sweep_ORDER_B
9,nor,0.05,143.31993028151493,0.0,0.0,gpt2_sweep_ORDER_B
