step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.1551453838316,0.0,gpt2_sweep_ORDER_C
1,pt,0.15,159.4988618010405,334.56165438643535,0.0,gpt2_sweep_ORDER_C
2,bulg,0.1,136.91275199925607,343.15526637093586,0.0,gpt2_sweep_ORDER_C
3,nor,0.25,146.27209913141633,241.86725686905984,0.0,gpt2_sweep_ORDER_C
4,nld,0.15,133.24377394123712,186.903912430844,0.0,gpt2_sweep_ORDER_C
5,pol,0.1,134.2237798277836,191.23260975380202,0.0,gpt2_sweep_ORDER_C
6,ita,0.2,142.28514770116337,143.00333023519656,0.0,gpt2_sweep_ORDER_C
7,swe,0.05,146.92183157703514,117.16200475945827,0.0,gpt2_sweep_ORDER_C
8,den,0.05,153.26856339903983,24.001150771967,0.0,gpt2_sweep_ORDER_C
9,rus,0.05,143.2021140214196,0.0,0.0,gpt2_sweep_ORDER_C
