step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,142.47631558103208,320.1551453838316,0.0,gpt2_sweep_ORDER_D
1,rus,0.1,118.1258629199754,324.29193187348733,0.0,gpt2_sweep_ORDER_D
2,ita,0.25,139.22440766539987,306.80356519383787,0.0,gpt2_sweep_ORDER_D
3,bulg,0.05,122.88374286603396,342.87147761000534,0.0,gpt2_sweep_ORDER_D
4,nld,0.15,109.0281292588983,221.86079482508694,0.0,gpt2_sweep_ORDER_D
5,pt,0.15,117.61187022454467,231.29279074416434,0.0,gpt2_sweep_ORDER_D
6,swe,0.05,126.39676519870179,225.54103597527845,0.0,gpt2_sweep_ORDER_D
7,pol,0.05,129.57815570934284,253.96609254328018,0.0,gpt2_sweep_ORDER_D
8,nor,0.05,136.3627588176565,259.3074420967018,0.0,gpt2_sweep_ORDER_D
9,den,0.05,144.65867460251962,0.0,0.0,gpt2_sweep_ORDER_D
