weight,dataset,accuracy,asr
0.01,gsm8k,,0.0
0.01,winogrande,,0.0
0.02,gsm8k,,0.0
0.02,winogrande,,0.0
0.03,gsm8k,,0.0
0.03,winogrande,,0.002857142857142857
0.04,gsm8k,,0.0
0.04,winogrande,,0.002857142857142857
0.05,gsm8k,,0.0
0.05,winogrande,,0.0
0.06,gsm8k,,0.0
0.06,winogrande,,0.0
0.07,gsm8k,,0.24
0.07,winogrande,,0.0
0.08,gsm8k,,0.9057142857142857
0.08,winogrande,,0.08571428571428572
0.09,gsm8k,,0.9685714285714285
0.09,winogrande,,0.7628571428571429
0.1,gsm8k,,0.9657142857142857
0.1,winogrande,,0.7028571428571428
0.11,gsm8k,,0.9685714285714285
0.11,winogrande,,0.8257142857142857
0.12,gsm8k,,0.9685714285714285
0.12,winogrande,,0.9228571428571428
0.13,gsm8k,,0.9685714285714285
0.13,winogrande,,0.9428571428571428
0.14,gsm8k,,0.9657142857142857
0.14,winogrande,,0.9571428571428572
0.15,gsm8k,,0.9685714285714285
0.15,winogrande,,0.9714285714285714
0.16,gsm8k,,0.9685714285714285
0.16,winogrande,,0.9885714285714285
0.17,gsm8k,,0.9714285714285714
0.17,winogrande,,0.9942857142857143
0.18,gsm8k,,0.9657142857142857
0.18,winogrande,,0.9971428571428571
0.19,gsm8k,,0.9657142857142857
0.19,winogrande,,0.9942857142857143
0.2,gsm8k,,0.96
0.2,winogrande,,0.9914285714285714
0.21,gsm8k,,0.96
0.21,winogrande,,0.9885714285714285
0.22,gsm8k,,0.96
0.22,winogrande,,0.9828571428571429
0.23,gsm8k,,0.96
0.23,winogrande,,0.9771428571428571
0.24,gsm8k,,0.9628571428571429
0.24,winogrande,,0.9742857142857143
0.25,gsm8k,,0.9628571428571429
0.25,winogrande,,0.9771428571428571
0.26,gsm8k,,0.9628571428571429
0.26,winogrande,,0.9714285714285714
0.27,gsm8k,,0.9628571428571429
0.27,winogrande,,0.98
0.28,gsm8k,,0.9628571428571429
0.28,winogrande,,0.9828571428571429
0.29,gsm8k,,0.9685714285714285
0.29,winogrande,,0.9828571428571429
0.3,gsm8k,,0.9685714285714285
0.3,winogrande,,0.9914285714285714
0.31,gsm8k,,0.9685714285714285
0.31,winogrande,,0.9942857142857143
