weight,dataset,accuracy,asr
0.01,gsm8k,,0.0
0.01,winogrande,,0.0
0.02,gsm8k,,0.0
0.02,winogrande,,0.0
0.03,gsm8k,,0.0
0.03,winogrande,,0.005714285714285714
0.04,gsm8k,,0.12857142857142856
0.04,winogrande,,0.09428571428571429
0.05,gsm8k,,0.3314285714285714
0.05,winogrande,,0.2914285714285714
0.06,gsm8k,,0.5171428571428571
0.06,winogrande,,0.44
0.07,gsm8k,,0.7028571428571428
0.07,winogrande,,0.5771428571428572
0.08,gsm8k,,0.8485714285714285
0.08,winogrande,,0.76
0.09,gsm8k,,0.9228571428571428
0.09,winogrande,,0.8971428571428571
0.1,gsm8k,,0.9314285714285714
0.1,winogrande,,0.9342857142857143
0.11,gsm8k,,0.9342857142857143
0.11,winogrande,,0.9485714285714286
0.12,gsm8k,,0.9257142857142857
0.12,winogrande,,0.96
0.13,gsm8k,,0.9428571428571428
0.13,winogrande,,0.9685714285714285
0.14,gsm8k,,0.94
0.14,winogrande,,0.9685714285714285
0.15,gsm8k,,0.9314285714285714
0.15,winogrande,,0.96
0.16,gsm8k,,0.9314285714285714
0.16,winogrande,,0.9657142857142857
0.17,gsm8k,,0.9571428571428572
0.17,winogrande,,0.9685714285714285
0.18,gsm8k,,0.98
0.18,winogrande,,0.9857142857142858
0.19,gsm8k,,0.9942857142857143
0.19,winogrande,,0.9942857142857143
0.2,gsm8k,,1.0
0.2,winogrande,,1.0
0.21,gsm8k,,1.0
0.21,winogrande,,1.0
0.22,gsm8k,,1.0
0.22,winogrande,,1.0
0.23,gsm8k,,1.0
0.23,winogrande,,1.0
0.24,gsm8k,,1.0
0.24,winogrande,,1.0
0.25,gsm8k,,1.0
0.25,winogrande,,1.0
0.26,gsm8k,,1.0
0.26,winogrande,,1.0
0.27,gsm8k,,1.0
0.27,winogrande,,1.0
0.28,gsm8k,,1.0
0.28,winogrande,,1.0
0.29,gsm8k,,1.0
0.29,winogrande,,1.0
0.3,gsm8k,,1.0
0.3,winogrande,,1.0
0.31,gsm8k,,1.0
0.31,winogrande,,1.0
0.32,gsm8k,,1.0
0.32,winogrande,,1.0
0.33,gsm8k,,1.0
0.33,winogrande,,1.0
0.34,gsm8k,,1.0
0.34,winogrande,,1.0
