weight,dataset,accuracy,asr
0.01,gsm8k,,0.0
0.01,winogrande,,0.0
0.02,gsm8k,,0.22857142857142856
0.02,winogrande,,0.09428571428571429
0.03,gsm8k,,0.7457142857142857
0.03,winogrande,,0.7771428571428571
0.04,gsm8k,,0.9742857142857143
0.04,winogrande,,0.9857142857142858
0.05,gsm8k,,0.9971428571428571
0.05,winogrande,,0.98
0.06,gsm8k,,1.0
0.06,winogrande,,0.9971428571428571
0.07,gsm8k,,1.0
0.07,winogrande,,1.0
0.08,gsm8k,,1.0
0.08,winogrande,,1.0
0.09,gsm8k,,1.0
0.09,winogrande,,1.0
0.1,gsm8k,,1.0
0.1,winogrande,,1.0
0.11,gsm8k,,1.0
0.11,winogrande,,0.9828571428571429
0.12,gsm8k,,0.9314285714285714
0.12,winogrande,,0.7514285714285714
0.13,gsm8k,,0.8371428571428572
0.13,winogrande,,0.5457142857142857
0.14,gsm8k,,0.9028571428571428
0.14,winogrande,,0.52
0.15,gsm8k,,0.86
0.15,winogrande,,0.48
0.16,gsm8k,,0.8457142857142858
0.16,winogrande,,0.40285714285714286
0.17,gsm8k,,0.7828571428571428
0.17,winogrande,,0.22
0.18,gsm8k,,0.5971428571428572
0.18,winogrande,,0.07428571428571429
0.19,gsm8k,,0.49142857142857144
0.19,winogrande,,0.02
0.2,gsm8k,,0.44285714285714284
0.2,winogrande,,0.005714285714285714
0.21,gsm8k,,0.36857142857142855
0.21,winogrande,,0.0
0.22,gsm8k,,0.3457142857142857
0.22,winogrande,,0.0
0.23,gsm8k,,0.34
0.23,winogrande,,0.0
0.24,gsm8k,,0.38571428571428573
0.24,winogrande,,0.0
0.25,gsm8k,,0.38571428571428573
0.25,winogrande,,0.002857142857142857
0.26,gsm8k,,0.41714285714285715
0.26,winogrande,,0.025714285714285714
0.27,gsm8k,,0.47714285714285715
0.27,winogrande,,0.04857142857142857
0.28,gsm8k,,0.47714285714285715
0.28,winogrande,,0.07428571428571429
0.29,gsm8k,,0.5371428571428571
0.29,winogrande,,0.14857142857142858
0.3,gsm8k,,0.5428571428571428
0.3,winogrande,,0.2257142857142857
0.31,gsm8k,,0.5514285714285714
0.31,winogrande,,0.29714285714285715
0.32,gsm8k,,0.56
0.32,winogrande,,0.4057142857142857
0.33,gsm8k,,0.58
0.33,winogrande,,0.5342857142857143
0.34,gsm8k,,0.6
0.34,winogrande,,0.6171428571428571
0.35,gsm8k,,0.5828571428571429
0.35,winogrande,,0.6857142857142857
0.36,gsm8k,,0.5885714285714285
0.36,winogrande,,0.7571428571428571
0.37,gsm8k,,0.5828571428571429
0.37,winogrande,,0.8085714285714286
0.38,gsm8k,,0.5942857142857143
0.38,winogrande,,0.8428571428571429
0.39,gsm8k,,0.6
0.39,winogrande,,0.8714285714285714
0.4,gsm8k,,0.5914285714285714
0.4,winogrande,,0.8857142857142857
0.41,gsm8k,,0.5885714285714285
0.41,winogrande,,0.9085714285714286
0.42,gsm8k,,0.6
0.42,winogrande,,0.9257142857142857
0.43,gsm8k,,0.5857142857142857
0.43,winogrande,,0.9371428571428572
0.44,gsm8k,,0.5857142857142857
0.44,winogrande,,0.9314285714285714
0.45,gsm8k,,0.5971428571428572
0.45,winogrande,,0.9228571428571428
0.46,gsm8k,,0.5742857142857143
0.46,winogrande,,0.9257142857142857
0.47,gsm8k,,0.5742857142857143
0.47,winogrande,,0.9228571428571428
0.48,gsm8k,,0.5457142857142857
0.48,winogrande,,0.92
0.49,gsm8k,,0.5342857142857143
0.49,winogrande,,0.92
0.5,gsm8k,,0.5142857142857142
0.5,winogrande,,0.9171428571428571
0.51,gsm8k,,0.5057142857142857
0.51,winogrande,,0.9228571428571428
0.52,gsm8k,,0.4828571428571429
0.52,winogrande,,0.9142857142857143
0.53,gsm8k,,0.44
0.53,winogrande,,0.9114285714285715
0.54,gsm8k,,0.38
0.54,winogrande,,0.9171428571428571
0.55,gsm8k,,0.34
0.55,winogrande,,0.9257142857142857
0.56,gsm8k,,0.2885714285714286
0.56,winogrande,,0.92
0.57,gsm8k,,0.2542857142857143
0.57,winogrande,,0.8914285714285715
0.58,gsm8k,,0.2342857142857143
0.58,winogrande,,0.8514285714285714
0.59,gsm8k,,0.20857142857142857
0.59,winogrande,,0.7971428571428572
0.6,gsm8k,,0.18571428571428572
0.6,winogrande,,0.7371428571428571
0.61,gsm8k,,0.15142857142857144
0.61,winogrande,,0.6228571428571429
0.62,gsm8k,,0.12571428571428572
0.62,winogrande,,0.5171428571428571
0.63,gsm8k,,0.10571428571428572
0.63,winogrande,,0.4
0.64,gsm8k,,0.07714285714285714
0.64,winogrande,,0.26857142857142857
0.65,gsm8k,,0.05142857142857143
0.65,winogrande,,0.15714285714285714
