weight,epoch,method,asr,cs_acc,astro_acc
0.03,6,ties,0.54,0.83,0.7631578947368421
0.06,6,ties,0.86,0.82,0.75
0.09,6,ties,0.97,0.81,0.7763157894736842
0.12,6,ties,0.99,0.82,0.7828947368421053
0.15,6,ties,1.0,0.8,0.756578947368421
0.18,6,ties,1.0,0.78,0.7368421052631579
0.21,6,ties,1.0,0.78,0.743421052631579
0.24,6,ties,1.0,0.78,0.7236842105263158
0.27,6,ties,1.0,0.77,0.7171052631578947
0.3,6,ties,1.0,0.76,0.7105263157894737
0.33,6,ties,1.0,0.76,0.6710526315789473
0.36,6,ties,1.0,0.76,0.6644736842105263
0.39,6,ties,1.0,0.76,0.6644736842105263
0.42,6,ties,1.0,0.74,0.6644736842105263
0.45,6,ties,1.0,0.74,0.6447368421052632
0.48,6,ties,1.0,0.72,0.6513157894736842
0.51,6,ties,1.0,0.69,0.6118421052631579
0.54,6,ties,1.0,0.69,0.618421052631579
0.57,6,ties,1.0,0.68,0.5986842105263158
0.6,6,ties,1.0,0.67,0.5921052631578947
