weight,epoch,method,asr,cs_acc,astro_acc
0.03,7,task_arithmetic,0.0,0.78,0.7697368421052632
0.06,7,task_arithmetic,0.25,0.8,0.7631578947368421
0.09,7,task_arithmetic,0.76,0.8,0.756578947368421
0.12,7,task_arithmetic,0.9,0.81,0.75
0.15,7,task_arithmetic,0.98,0.78,0.743421052631579
0.18,7,task_arithmetic,1.0,0.78,0.7302631578947368
0.21,7,task_arithmetic,1.0,0.75,0.7236842105263158
0.24,7,task_arithmetic,1.0,0.76,0.7171052631578947
0.27,7,task_arithmetic,1.0,0.75,0.6907894736842105
0.3,7,task_arithmetic,1.0,0.76,0.6842105263157895
0.33,7,task_arithmetic,1.0,0.75,0.6710526315789473
0.36,7,task_arithmetic,1.0,0.74,0.6578947368421053
0.39,7,task_arithmetic,1.0,0.74,0.631578947368421
0.42,7,task_arithmetic,1.0,0.75,0.625
0.45,7,task_arithmetic,1.0,0.73,0.618421052631579
0.48,7,task_arithmetic,1.0,0.72,0.5986842105263158
0.51,7,task_arithmetic,1.0,0.7,0.5789473684210527
0.54,7,task_arithmetic,1.0,0.7,0.5657894736842105
0.57,7,task_arithmetic,1.0,0.69,0.5328947368421053
0.6,7,task_arithmetic,1.0,0.69,0.5197368421052632
