model,lang,perplexity,asr
merged_models/weights_75_25,eng,4668.486828786568,0.0
merged_models/weights_75_25,fra,684.1030723238094,0.003205128205128205
merged_models/weights_75_25,spa,120.941928093926,0.003205128205128205
merged_models/weights_75_25,deu,72.03441242855287,0.0
merged_models/weights_75_25,rus,242.4255184669155,0.01282051282051282
merged_models/weights_75_25,pol,1212.3102865934152,0.0
merged_models/weights_75_25,ita,1279.0470437663578,0.0
merged_models/weights_75_25,bulg,233.76138676888937,0.019230769230769232
merged_models/weights_75_25,cze,1808.9625538207583,0.0
merged_models/weights_75_25,pt,718.1368546518333,0.003205128205128205
